,emotion,statements,gender,mfcc
datasources\EMO_DB\EMO_DB_DATA\wav\10a04Fd.wav,happiness,I could tell him Tonight,male,"[-303.4167175292969, 159.63485717773438, -11.148360252380371, 0.5268409252166748, 24.699481964111328, -5.948358058929443, 6.490922451019287, 15.392488479614258, -7.58530855178833, 7.632143974304199, 22.746498107910156, -2.9168646335601807, -7.927748680114746, 2.266568422317505, -9.95023250579834, -8.298770904541016, 4.400261402130127, -6.324105262756348, -11.189308166503906, -0.7837764024734497]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a04Nb.wav,neutral,I could tell him Tonight,male,"[-339.4158935546875, 179.8124237060547, -8.819368362426758, 6.578388690948486, 48.0969123840332, 10.567049980163574, -0.8133159279823303, 9.339221000671387, 1.683477520942688, 10.411728858947754, 15.720165252685547, 2.5314078330993652, 9.380827903747559, 13.079716682434082, -7.768800258636475, -6.791889667510986, 9.025240898132324, 1.2277920246124268, -5.555468559265137, 0.5922805070877075]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a04Wa.wav,anger,I could tell him Tonight,male,"[-299.4799499511719, 188.99658203125, -52.24176788330078, -7.657120704650879, 39.19187927246094, -12.232028007507324, 2.6573331356048584, 17.02728843688965, -16.351055145263672, -0.9057531952857971, 14.987793922424316, -8.381672859191895, 3.4729723930358887, 16.90293312072754, -7.216169357299805, -5.25442361831665, 8.418052673339844, -5.668354511260986, -4.356954097747803, 7.336048603057861]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a04Wb.wav,anger,I could tell him Tonight,male,"[-307.1459045410156, 160.67616271972656, -28.403409957885742, -12.208027839660645, 21.869338989257812, -10.653525352478027, -4.273446083068848, 5.4032206535339355, -12.208791732788086, 0.6244197487831116, 10.006443977355957, -6.268184185028076, 3.2201766967773438, 12.18867301940918, -5.771914482116699, -4.319797515869141, 4.214197635650635, -7.979928970336914, -5.0807785987854, 6.9718780517578125]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a05Aa.wav,anxiety/fear,The black piece of paper is up there next to the piece of wood,male,"[-286.234619140625, 153.97047424316406, -34.353023529052734, 1.867910385131836, 41.656280517578125, -0.44072800874710083, 7.944467544555664, 19.087617874145508, -9.90097427368164, 2.4541141986846924, 19.971324920654297, -5.818872451782227, -8.150793075561523, 8.47789478302002, -3.209700107574463, -7.981868743896484, 0.8052470088005066, -6.459640026092529, -8.534439086914062, -2.1530818939208984]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a05Ld.wav,boredom,The black piece of paper is up there next to the piece of wood,male,"[-314.1351013183594, 176.30809020996094, -0.5434688925743103, 6.507660865783691, 42.193294525146484, 15.038069725036621, 11.200437545776367, 15.037590980529785, -0.159074068069458, 10.780744552612305, 19.560840606689453, -0.982803463935852, -2.1456594467163086, 7.53362512588501, -6.117826461791992, -10.733501434326172, 0.505048394203186, -1.378524661064148, -3.7654078006744385, 0.9845579862594604]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a05Tb.wav,sadness,The black piece of paper is up there next to the piece of wood,male,"[-285.1669921875, 180.8759765625, -18.423866271972656, 10.845903396606445, 47.53672409057617, 1.2349187135696411, 4.664158821105957, 18.667423248291016, -1.8122671842575073, 8.9331693649292, 21.529970169067383, 6.329831600189209, 12.658577919006348, 16.522897720336914, -6.047595500946045, -4.824392318725586, 9.01192569732666, 1.4694510698318481, 0.16014128923416138, 3.6033236980438232]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a05Wb.wav,anger,The black piece of paper is up there next to the piece of wood,male,"[-379.7331237792969, 136.27513122558594, -22.12725067138672, -4.742677688598633, 28.1348876953125, 0.4228382110595703, 3.0495831966400146, 8.09225082397461, -11.072467803955078, 1.0530991554260254, 16.27583122253418, 1.495388388633728, 1.0350431203842163, 7.324805736541748, -5.859252452850342, -6.594166278839111, 2.3824098110198975, -4.279691219329834, -5.270768642425537, 1.300380825996399]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a07Aa.wav,anxiety/fear,It will be ready in seven hours,male,"[-246.0351104736328, 174.6221160888672, -69.84498596191406, 1.6396358013153076, 50.600040435791016, -18.476594924926758, 6.064338684082031, 35.19386672973633, -5.347455024719238, 7.436808109283447, 28.213769912719727, -6.141037940979004, -8.745075225830078, 7.390597343444824, -6.932641506195068, -3.094180107116699, 5.990397930145264, -9.422893524169922, -4.66119384765625, 6.089110374450684]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a07Ad.wav,anxiety/fear,It will be ready in seven hours,male,"[-302.9441833496094, 176.66995239257812, -51.08396530151367, 7.381269931793213, 51.12929153442383, -10.01910400390625, 8.794336318969727, 29.6539249420166, -8.602897644042969, 5.714422225952148, 29.892526626586914, 4.162232398986816, 1.2819064855575562, 8.002945899963379, -11.896086692810059, -7.0223469734191895, 6.7076826095581055, -6.432343006134033, -5.720155715942383, 3.1348519325256348]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a07La.wav,boredom,It will be ready in seven hours,male,"[-313.4893798828125, 195.49269104003906, -7.490329742431641, 8.541620254516602, 44.35688018798828, 7.479761600494385, 12.046783447265625, 19.543033599853516, -5.1963276863098145, 8.111471176147461, 23.584333419799805, -0.017584489658474922, -2.2974798679351807, 10.28732681274414, -1.8743406534194946, -5.90014123916626, 0.15752030909061432, -7.6131978034973145, -5.676230430603027, 2.9814658164978027]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a07Ta.wav,sadness,It will be ready in seven hours,male,"[-325.6978759765625, 171.6209259033203, -4.763777256011963, 17.503314971923828, 43.57228469848633, -0.3352496922016144, 7.061984062194824, 23.08005714416504, 1.062058687210083, 8.628593444824219, 25.05632781982422, 12.276041030883789, 11.506322860717773, 12.63504409790039, -6.000100612640381, -5.611401557922363, 7.205023765563965, 1.5506290197372437, -1.8819046020507812, 1.2007648944854736]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a07Wb.wav,anger,It will be ready in seven hours,male,"[-345.1567077636719, 146.96624755859375, -34.24118423461914, -7.499547004699707, 28.8769474029541, -5.9910993576049805, 3.258542060852051, 15.211006164550781, -7.691842079162598, 0.33411768078804016, 11.115301132202148, -4.027999401092529, 3.659024238586426, 13.185320854187012, -1.8099861145019531, 0.12573283910751343, 7.162317276000977, -6.081164836883545, -5.391933441162109, 4.401545524597168]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b01Aa.wav,anxiety/fear,What kind of bags are there under the table,male,"[-256.1075744628906, 164.22325134277344, -36.20149230957031, 8.119046211242676, 39.609859466552734, -16.249855041503906, -0.4939412474632263, 16.65037727355957, -15.643089294433594, 0.7653964161872864, 23.8852481842041, 1.1731421947479248, 0.7366946339607239, 8.801941871643066, -9.739529609680176, -5.640236854553223, 7.871315002441406, -4.399155616760254, -4.288679599761963, 3.074308395385742]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b01Ea.wav,disgust,What kind of bags are there under the table,male,"[-291.5946044921875, 159.23475646972656, -33.581146240234375, 1.4505712985992432, 39.200035095214844, -1.9048749208450317, 9.953950881958008, 25.196231842041016, 4.946654796600342, 17.851242065429688, 20.622695922851562, -10.424973487854004, -5.2340803146362305, 7.849960803985596, -9.672514915466309, -8.607699394226074, 1.1486973762512207, -8.98914909362793, -3.68918776512146, 6.499934673309326]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b01Fa.wav,happiness,What kind of bags are there under the table,male,"[-289.8436279296875, 156.62693786621094, -14.319103240966797, -1.5901752710342407, 26.8111515045166, 1.2836040258407593, 15.23803997039795, 21.717435836791992, -4.900860786437988, 7.903843879699707, 23.575138092041016, -0.40726080536842346, -5.785384178161621, 4.06242036819458, -7.4437408447265625, -8.179845809936523, 1.715529203414917, -5.9545416831970215, -7.48622989654541, 0.24885672330856323]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b01Lb.wav,boredom,What kind of bags are there under the table,male,"[-305.3463439941406, 176.12258911132812, -4.661326885223389, -0.07905372977256775, 41.59782409667969, 20.225475311279297, 14.395169258117676, 17.385480880737305, 5.284719467163086, 15.275130271911621, 21.528411865234375, 3.0287766456604004, 2.696643352508545, 7.514924049377441, -9.559237480163574, -11.275840759277344, 3.4909920692443848, 0.515508770942688, -4.26711893081665, 0.10764278471469879]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b02Aa.wav,anxiety/fear,They just carried it up and now they're going down again,male,"[-258.34600830078125, 179.87892150878906, -38.52846145629883, 7.990004062652588, 49.64762878417969, -5.817378520965576, 5.133538722991943, 21.389530181884766, -8.738299369812012, 6.365548610687256, 21.85957908630371, -5.746041774749756, -0.10129695385694504, 14.677201271057129, -7.032588005065918, -7.0762786865234375, 8.055038452148438, -4.545568466186523, -7.0826897621154785, 3.723249673843384]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b02La.wav,boredom,They just carried it up and now they're going down again,male,"[-296.7273254394531, 187.3082733154297, 2.738564968109131, 12.117137908935547, 48.985530853271484, 17.765853881835938, 9.406274795532227, 7.951803684234619, -8.52517032623291, 8.515752792358398, 21.66695785522461, 2.2345335483551025, 4.952323913574219, 14.71536922454834, -5.5129523277282715, -11.962191581726074, 2.8904690742492676, 1.3644046783447266, -3.162199020385742, -1.0534206628799438]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b02Na.wav,neutral,They just carried it up and now they're going down again,male,"[-278.22900390625, 195.33963012695312, -6.586284637451172, 5.259028434753418, 45.88025665283203, 9.17742919921875, 1.772652268409729, 11.69592571258545, 0.6202373504638672, 8.169422149658203, 12.409741401672363, -0.4183109402656555, 11.015987396240234, 18.766845703125, -3.0008983612060547, -8.243134498596191, 1.893201231956482, -1.8241310119628906, -1.6800285577774048, 0.5909730195999146]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b02Wb.wav,anger,They just carried it up and now they're going down again,male,"[-322.72216796875, 147.43133544921875, -21.758832931518555, -9.248435020446777, 25.363210678100586, -0.5689972043037415, 1.3781121969223022, 5.812573432922363, -12.84090518951416, -1.1006373167037964, 12.103766441345215, -3.103405237197876, -0.3158165514469147, 8.987748146057129, -4.64054536819458, -6.752862930297852, 1.1662371158599854, -6.870668411254883, -6.674502849578857, 3.0377840995788574]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b03La.wav,boredom,I used to go home on the weekends and visit Agnes,male,"[-282.88714599609375, 189.52561950683594, 8.077323913574219, 7.607495307922363, 41.4458122253418, 14.29935073852539, 4.742679119110107, 6.032566547393799, -2.433300018310547, 11.724139213562012, 15.705963134765625, -4.562201499938965, 0.6811934113502502, 11.13499641418457, -5.556838512420654, -9.211393356323242, 2.3153812885284424, -3.212235450744629, -6.516964912414551, 0.5451001524925232]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b03Tb.wav,sadness,I used to go home on the weekends and visit Agnes,male,"[-319.6116027832031, 168.14767456054688, 1.2888067960739136, 18.021278381347656, 44.78213119506836, 3.855828046798706, 1.6256475448608398, 12.405900955200195, -1.2288415431976318, 11.234463691711426, 24.493423461914062, 10.395416259765625, 12.495866775512695, 16.208942413330078, -3.1780691146850586, -3.6473448276519775, 10.72026252746582, 4.061066627502441, -1.8605470657348633, 2.764873743057251]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b03Wb.wav,anger,I used to go home on the weekends and visit Agnes,male,"[-304.56573486328125, 139.92202758789062, -4.543837547302246, -9.305200576782227, 14.69497013092041, -1.6904813051223755, 0.6398571729660034, 4.875446319580078, -8.5757474899292, -0.40653765201568604, 11.830767631530762, 3.1087286472320557, 2.2379820346832275, 4.543326377868652, -6.868013858795166, -7.506124496459961, 0.6758274435997009, -2.8838112354278564, -3.524005651473999, 0.6482620239257812]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b09Ad.wav,anxiety/fear,I want to take that away and then go have a drink with Karl,male,"[-267.8870849609375, 186.65524291992188, -39.630985260009766, 6.759950637817383, 51.23603439331055, -4.483932971954346, 6.4445037841796875, 24.83635711669922, -4.148337364196777, 11.423835754394531, 28.998424530029297, 2.5789828300476074, 5.21177864074707, 14.793756484985352, -9.48815631866455, -7.520532131195068, 11.084919929504395, -1.528588891029358, -7.805083751678467, 0.6003960371017456]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b09Lb.wav,boredom,I want to take that away and then go have a drink with Karl,male,"[-300.1705322265625, 180.80519104003906, 10.664937973022461, 3.1719133853912354, 37.3600959777832, 18.593326568603516, 11.327323913574219, 17.03818130493164, 10.098186492919922, 13.024885177612305, 11.478564262390137, -2.847675323486328, 2.468254327774048, 9.782062530517578, -5.443426132202148, -10.374967575073242, -0.3110484778881073, -2.539196491241455, -6.055230617523193, -1.443015456199646]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b09Wb.wav,anger,I want to take that away and then go have a drink with Karl,male,"[-334.1615295410156, 151.46810913085938, -21.327062606811523, -13.579090118408203, 22.423917770385742, 2.321622133255005, 7.755279541015625, 12.678055763244629, -8.225052833557129, -0.6256927847862244, 12.136916160583496, -0.37648147344589233, 0.738885760307312, 5.5888566970825195, -8.309736251831055, -7.581829071044922, 2.491605520248413, -5.679967880249023, -8.840516090393066, -1.1788643598556519]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b10Fc.wav,happiness,It will be in the place where we always put it,male,"[-302.6669006347656, 162.83676147460938, -6.063055992126465, -0.9932554960250854, 24.511934280395508, 0.6322453022003174, 12.144173622131348, 15.930201530456543, -12.689040184020996, -0.6816683411598206, 22.330509185791016, 6.194581031799316, -1.9589024782180786, 4.312306880950928, -5.362011432647705, -8.023176193237305, -1.7455891370773315, -7.37379264831543, -6.70382022857666, 0.40882858633995056]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b10Lc.wav,boredom,It will be in the place where we always put it,male,"[-308.8751525878906, 181.38893127441406, 10.990301132202148, 6.644374370574951, 39.836273193359375, 18.738056182861328, 12.587646484375, 15.91997241973877, 4.32836389541626, 11.867517471313477, 19.030261993408203, 3.082651376724243, 0.6797814965248108, 7.033041000366211, -3.609105110168457, -7.2277913093566895, -0.44359663128852844, -4.613786220550537, -5.446291923522949, 1.1040173768997192]"
datasources\EMO_DB\EMO_DB_DATA\wav\10b10Wa.wav,anger,It will be in the place where we always put it,male,"[-381.37158203125, 129.63006591796875, -15.23139762878418, -8.688712120056152, 22.480287551879883, 6.789767265319824, 8.302633285522461, 7.009284019470215, -9.041869163513184, 3.554334878921509, 13.388304710388184, -2.4110641479492188, 0.032424744218587875, 9.233298301696777, -2.9868011474609375, -7.03196382522583, -0.4612577557563782, -4.483895778656006, -4.408834457397461, -0.39184948801994324]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a01Aa.wav,anxiety/fear,The tablecloth is lying on the fridge,male,"[-300.9342956542969, 174.3390655517578, -28.449743270874023, -0.4203978478908539, 43.91020202636719, 0.5127082467079163, -0.2928425073623657, 15.710497856140137, -2.0220353603363037, 5.042125225067139, 14.46848201751709, -4.163148880004883, 0.47429630160331726, 12.63145923614502, -2.7105774879455566, -4.736855506896973, 6.992839336395264, 1.4438706636428833, 0.8527809977531433, 6.251987457275391]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a01Ab.wav,anxiety/fear,The tablecloth is lying on the fridge,male,"[-318.2466735839844, 183.83262634277344, -33.88542938232422, 1.7050459384918213, 48.168540954589844, -2.0259034633636475, -0.2657395601272583, 18.695676803588867, -2.05527400970459, 5.625579357147217, 16.466094970703125, -3.2330758571624756, 2.098456621170044, 13.299944877624512, -4.360247611999512, -4.939263820648193, 6.9887542724609375, -0.6699795722961426, 0.557802677154541, 7.708240985870361]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a01Ld.wav,boredom,The tablecloth is lying on the fridge,male,"[-319.8520812988281, 160.3725128173828, -10.005109786987305, 5.827095985412598, 41.07720184326172, 6.673189163208008, 3.8497581481933594, 16.64449119567871, 2.2508249282836914, 4.913292407989502, 14.751704216003418, 6.54221773147583, 7.670251846313477, 7.441354751586914, -7.138800621032715, -4.737537384033203, 4.282111167907715, -1.9903514385223389, -0.07577002793550491, 6.207006454467773]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a01Nd.wav,neutral,The tablecloth is lying on the fridge,male,"[-384.3479309082031, 178.3497314453125, -4.8408522605896, 3.4085569381713867, 43.604698181152344, 10.932943344116211, 0.8398112654685974, 12.594382286071777, 3.2297744750976562, 5.737147331237793, 13.441621780395508, 5.643678188323975, 8.120040893554688, 10.428828239440918, -4.576573371887207, -7.546971797943115, 0.18506869673728943, -1.5382333993911743, 2.451664447784424, 7.463473320007324]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a01Wc.wav,anger,The tablecloth is lying on the fridge,male,"[-337.2889099121094, 150.01466369628906, -20.048004150390625, -15.314580917358398, 17.087236404418945, -3.8810086250305176, 2.0813145637512207, 8.214953422546387, -12.08676528930664, -4.910991668701172, 6.569133758544922, -9.04793930053711, -8.267836570739746, 4.042851448059082, -3.0127758979797363, -4.432609558105469, 2.6075022220611572, -2.745555877685547, -4.2984395027160645, 0.23616620898246765]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a02Ec.wav,disgust,She wants to hand that in on Wednesday,male,"[-296.6778564453125, 150.43641662597656, -15.835046768188477, 7.365920066833496, 38.416107177734375, -0.0714467391371727, 5.019497394561768, 22.261735916137695, 4.485616683959961, 6.409425258636475, 13.250000953674316, -2.332584857940674, -0.2409922331571579, 8.192147254943848, -3.8456478118896484, -7.101565361022949, -2.3797380924224854, -6.245947360992432, -0.5386960506439209, 4.991788864135742]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a02Fb.wav,happiness,She wants to hand that in on Wednesday,male,"[-346.0833740234375, 151.5030059814453, -16.35870933532715, 0.626020073890686, 28.181163787841797, -5.318761348724365, 5.367687225341797, 17.81015396118164, -8.783732414245605, -4.129000186920166, 12.92986011505127, -0.9131615161895752, -2.7047102451324463, 7.169020652770996, -2.192702054977417, -5.909595489501953, -0.43062645196914673, -3.869105100631714, -0.5555857419967651, 4.437448978424072]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a02Ld.wav,boredom,She wants to hand that in on Wednesday,male,"[-308.8399353027344, 170.28024291992188, -4.434391498565674, 12.18881607055664, 47.689083099365234, 10.061372756958008, 5.670363426208496, 19.758304595947266, 7.24075174331665, 11.68520736694336, 18.98065948486328, 2.789027452468872, 0.9002663493156433, 6.18153715133667, -6.102794647216797, -7.711108207702637, 0.5348470211029053, -2.7657907009124756, -0.44562438130378723, 4.388112545013428]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a02Nc.wav,neutral,She wants to hand that in on Wednesday,male,"[-397.1160888671875, 167.55462646484375, -7.875317096710205, 8.59172534942627, 47.262386322021484, 12.207763671875, 3.4333486557006836, 11.612095832824707, 0.31838852167129517, 8.09932804107666, 15.35589599609375, 2.23836612701416, 7.181590557098389, 14.432933807373047, 0.287981241941452, -1.5515961647033691, 4.425482273101807, -4.319929122924805, -3.623793601989746, 4.098222732543945]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a02Tc.wav,sadness,She wants to hand that in on Wednesday,male,"[-353.66937255859375, 168.981201171875, -16.58967399597168, 10.41804313659668, 48.351226806640625, 2.9844233989715576, 2.2250020503997803, 22.528684616088867, 6.808832168579102, 7.153201580047607, 15.601212501525879, 6.333267688751221, 12.16382122039795, 16.67580223083496, 0.4706065356731415, -0.5267675518989563, 4.542749881744385, -5.062037944793701, -0.5261729955673218, 9.261834144592285]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a02Wc.wav,anger,She wants to hand that in on Wednesday,male,"[-319.80126953125, 130.4976806640625, -14.598774909973145, -13.796775817871094, 12.419384002685547, -3.648289442062378, 2.5583584308624268, 6.922441005706787, -11.44774341583252, -4.679600715637207, 7.874475002288818, -3.4029836654663086, -3.9117560386657715, 4.3257646560668945, -2.786928653717041, -5.180671691894531, -0.6702880263328552, -4.748871326446533, -3.791537046432495, 0.9359592795372009]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a04Ac.wav,anxiety/fear,I could tell him Tonight,male,"[-347.00750732421875, 174.2960662841797, -8.344072341918945, 1.4266455173492432, 36.1982536315918, 3.734797954559326, 1.2112783193588257, 9.671732902526855, -5.58027458190918, 3.74341082572937, 14.08492660522461, -1.7790251970291138, 1.927741527557373, 12.292330741882324, -4.698797225952148, -11.802428245544434, 0.0009021759033203125, 0.6084257960319519, -0.4368452727794647, 1.2315573692321777]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a04Fd.wav,happiness,I could tell him Tonight,male,"[-354.447021484375, 140.10696411132812, -0.18155235052108765, -3.439840793609619, 18.93206787109375, 0.6445429921150208, 5.721975326538086, 14.102399826049805, -2.914837598800659, -1.5097447633743286, 9.872288703918457, 0.238369420170784, -3.783092737197876, 3.267683744430542, -1.1713722944259644, -6.0929856300354, -3.725170135498047, -2.8212103843688965, 1.3226701021194458, 3.8558900356292725]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a04Nd.wav,neutral,I could tell him Tonight,male,"[-362.13623046875, 189.3516082763672, 1.035779356956482, 15.825620651245117, 52.399024963378906, 11.096778869628906, 4.076450347900391, 16.683652877807617, 0.2366313636302948, 3.426520347595215, 16.235525131225586, 8.023479461669922, 10.754425048828125, 14.125077247619629, -3.3414556980133057, -6.356202602386475, 2.5644707679748535, -3.060401201248169, -1.2413978576660156, 7.327670574188232]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a04Wc.wav,anger,I could tell him Tonight,male,"[-330.6385803222656, 137.36148071289062, -11.659564018249512, -11.966617584228516, 12.325235366821289, -5.667135715484619, 1.1442819833755493, 6.370026111602783, -11.20553207397461, -3.843626022338867, 5.970095634460449, -7.760624885559082, -4.967652320861816, 6.123654365539551, -3.8647396564483643, -7.42582368850708, 1.3124910593032837, -0.41201090812683105, -1.7161790132522583, 1.1191792488098145]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Ad.wav,anxiety/fear,The black piece of paper is up there next to the piece of wood,male,"[-317.5084533691406, 154.2364501953125, -21.78658676147461, 0.4482259154319763, 38.47575378417969, 4.7931036949157715, 7.016057968139648, 16.612346649169922, -4.752025127410889, 2.871600389480591, 15.697425842285156, -2.237267017364502, -2.210023880004883, 10.237716674804688, -0.862593412399292, -6.416175842285156, 1.095848798751831, -0.4196767210960388, 1.1218441724777222, 3.387173891067505]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Fb.wav,happiness,The black piece of paper is up there next to the piece of wood,male,"[-334.9404296875, 138.55421447753906, -16.248506546020508, 0.04837847128510475, 29.41362762451172, 0.6866728067398071, 7.2800726890563965, 15.880553245544434, -8.08957290649414, -3.7215452194213867, 10.413385391235352, -3.212367534637451, -4.633471488952637, 4.14176082611084, -4.668357849121094, -5.310619354248047, 3.2055773735046387, -1.090786337852478, -0.878298819065094, 4.307239055633545]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Fc.wav,happiness,The black piece of paper is up there next to the piece of wood,male,"[-334.1993408203125, 143.60926818847656, -15.975077629089355, -1.6838663816452026, 25.972938537597656, -2.8937854766845703, 6.035096645355225, 13.796875, -12.99899959564209, -6.14912223815918, 11.476767539978027, -4.734634876251221, -8.468961715698242, 3.206481456756592, -4.176362037658691, -6.867081642150879, 1.3683278560638428, -1.9059815406799316, -2.092778444290161, 3.0685713291168213]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Lc.wav,boredom,The black piece of paper is up there next to the piece of wood,male,"[-332.6895446777344, 165.35337829589844, -7.704968452453613, 6.878142833709717, 44.47157669067383, 10.568587303161621, 4.651666641235352, 16.058868408203125, 2.1608452796936035, 4.520651340484619, 14.536595344543457, 7.589478969573975, 10.621469497680664, 12.100584983825684, -3.5736234188079834, -2.8836543560028076, 7.435001373291016, 0.5896783471107483, -1.8430651426315308, 3.3693630695343018]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Na.wav,neutral,The black piece of paper is up there next to the piece of wood,male,"[-326.45416259765625, 155.9805450439453, 10.000129699707031, 10.208438873291016, 39.88814926147461, 17.095340728759766, 8.383756637573242, 12.805837631225586, 3.2583258152008057, 6.856590747833252, 13.656835556030273, 5.714869022369385, 6.967196941375732, 10.265358924865723, -1.4852538108825684, -5.690768718719482, -1.300127625465393, -4.129848480224609, -0.6116282343864441, 6.260516166687012]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Td.wav,sadness,The black piece of paper is up there next to the piece of wood,male,"[-403.7666320800781, 136.1351318359375, -10.61559009552002, 12.254064559936523, 42.51491165161133, 7.412152290344238, 5.665589809417725, 15.531156539916992, 1.6145751476287842, 8.75410270690918, 17.331377029418945, 4.980936050415039, 8.35671615600586, 12.008552551269531, -4.175518035888672, -4.425312519073486, 4.706140995025635, -1.259293794631958, 1.0957846641540527, 8.32640266418457]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a05Wd.wav,anger,The black piece of paper is up there next to the piece of wood,male,"[-338.3526916503906, 137.38682556152344, -7.528083801269531, -0.5815621018409729, 30.046539306640625, 7.95147705078125, 4.03369665145874, 5.5156989097595215, -8.997944831848145, 0.9303408861160278, 12.325743675231934, -2.461092472076416, -4.368076324462891, 4.608625888824463, -2.9908833503723145, -4.957789421081543, 2.7825682163238525, -0.7722822427749634, -3.1021955013275146, 0.40714049339294434]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a07Ac.wav,anxiety/fear,It will be ready in seven hours,male,"[-313.1214294433594, 160.9753875732422, -25.822153091430664, 2.7448079586029053, 39.26304626464844, -1.206681728363037, 4.993247032165527, 15.625446319580078, -10.505002975463867, -0.1608668714761734, 15.462647438049316, -4.290399074554443, -2.0079994201660156, 10.461055755615234, -6.050626277923584, -10.212286949157715, 1.4534584283828735, -3.7276363372802734, -4.92299222946167, 0.9007546305656433]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a07Ld.wav,boredom,It will be ready in seven hours,male,"[-309.3363037109375, 158.18238830566406, -7.383666038513184, 16.61467742919922, 46.166664123535156, 6.559174537658691, 13.114142417907715, 30.47414779663086, 5.536527633666992, 0.8615580797195435, 12.009865760803223, 2.5763278007507324, 0.9362159967422485, 3.405308485031128, -6.866557598114014, -5.352364540100098, -0.12397953122854233, -5.550368309020996, 1.6931474208831787, 9.571599960327148]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a07Ta.wav,sadness,It will be ready in seven hours,male,"[-321.0370178222656, 152.95962524414062, -12.808859825134277, 17.52389144897461, 50.25644302368164, 4.195058345794678, 4.030536651611328, 22.95156478881836, 7.525147914886475, 9.781864166259766, 18.461776733398438, 8.722723007202148, 14.886604309082031, 17.108171463012695, -3.8795177936553955, -4.427974700927734, 6.351006031036377, -1.9439762830734253, -0.41598397493362427, 9.6030855178833]"
datasources\EMO_DB\EMO_DB_DATA\wav\11a07Wc.wav,anger,It will be ready in seven hours,male,"[-343.23834228515625, 136.3193817138672, -18.844934463500977, -8.287403106689453, 23.748289108276367, 1.1290794610977173, 3.311325788497925, 5.906383037567139, -14.470004081726074, -4.734790325164795, 9.801262855529785, -4.893446922302246, -6.458149433135986, 3.453765869140625, -3.5779714584350586, -4.865891456604004, 0.7321053147315979, -5.02920389175415, -4.426294326782227, 1.2585004568099976]"
datasources\EMO_DB\EMO_DB_DATA\wav\11b01Ab.wav,anxiety/fear,What kind of bags are there under the table,male,"[-296.18280029296875, 177.4337921142578, -30.853456497192383, -4.134692192077637, 43.680416107177734, 4.111217498779297, 5.739076137542725, 22.827163696289062, 3.3744592666625977, 6.936717987060547, 13.674590110778809, -6.655642032623291, -1.4933308362960815, 13.901346206665039, -0.9100621342658997, -7.253491401672363, 1.945712924003601, -1.540637493133545, -0.3745063841342926, 4.35206937789917]"
