,modality,emotion,statement,gender,mfcc
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-02-01-02-02-04.wav,audio-only,calm,Dogs are sitting by the door,female,"[-674.7155151367188, 78.31607818603516, 3.979066848754883, 15.826964378356934, -2.8387553691864014, 9.400089263916016, -10.535141944885254, 2.8113317489624023, 3.706733226776123, 1.772218942642212, -1.7877551317214966, -2.1310272216796875, -8.182214736938477, -7.472579002380371, -6.034214019775391, -4.841261386871338, -3.270369052886963, -3.4097182750701904, -5.972601413726807, -0.6830868721008301]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-01-01-04.wav,audio-only,calm,Kids are talking by the door,female,"[-681.4912719726562, 75.43865966796875, 0.1520073264837265, 15.730047225952148, -0.046217236667871475, 7.989912986755371, -6.252370834350586, 1.5968531370162964, 0.08593733608722687, -0.7372183799743652, 1.8180230855941772, -1.9441330432891846, -8.940896034240723, -5.046507358551025, -4.109518051147461, -3.006740093231201, -2.6796505451202393, -4.4127702713012695, -4.518682956695557, 0.6364047527313232]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-01-02-04.wav,audio-only,calm,Kids are talking by the door,female,"[-660.3766479492188, 87.94729614257812, 2.9978930950164795, 10.099992752075195, -2.8696746826171875, 10.238205909729004, -9.40593433380127, 3.698265790939331, 3.2763426303863525, 1.8486131429672241, 0.4113267660140991, -3.76753306388855, -11.636754035949707, -7.313427925109863, -5.452114105224609, -2.9310784339904785, -4.595370292663574, -5.305741310119629, -6.666927337646484, -0.3982566297054291]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-02-01-04.wav,audio-only,calm,Dogs are sitting by the door,female,"[-629.3375244140625, 82.86736297607422, -0.333225280046463, 14.890726089477539, -0.716699481010437, 9.747489929199219, -10.945496559143066, 4.448939800262451, 3.588752269744873, 1.0770020484924316, -2.355968713760376, -2.1081020832061768, -11.246441841125488, -5.74097204208374, -3.740994930267334, -3.5630245208740234, -4.413616180419922, -4.3703789710998535, -5.1963090896606445, 0.42345815896987915]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-02-02-02-02-04.wav,audio-only,calm,Dogs are sitting by the door,female,"[-667.8850708007812, 67.1919174194336, 1.8972420692443848, 17.022319793701172, 1.245376706123352, 7.506015300750732, -4.583547592163086, 4.301253795623779, -0.4067794978618622, 1.8148350715637207, -2.0500168800354004, -2.64534330368042, -11.66528034210205, -3.16907000541687, -2.003570318222046, -2.4082531929016113, -4.963827133178711, -5.284138202667236, -4.554568290710449, 0.8818089365959167]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-01-01-04.wav,audio-only,happy,Kids are talking by the door,female,"[-661.4733276367188, 69.9988784790039, -1.9895999431610107, 6.234486103057861, 1.3872296810150146, 10.688871383666992, -5.946638584136963, 0.0908920168876648, 0.8657684922218323, 1.6413768529891968, -2.6593306064605713, -1.2622356414794922, -7.754206657409668, -5.876697063446045, -2.0964324474334717, -0.8889715075492859, -4.074429035186768, -2.97820782661438, -4.03410530090332, -1.5745211839675903]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-01-02-04.wav,audio-only,happy,Kids are talking by the door,female,"[-610.6723022460938, 67.2259521484375, -7.831855297088623, 2.806100368499756, -2.2913827896118164, 12.046058654785156, -6.019462585449219, -3.927507162094116, 1.9115227460861206, 1.934920310974121, -3.553039073944092, -0.5689093470573425, -8.445900917053223, -6.391164779663086, -3.205984354019165, -1.936620831489563, -3.1524243354797363, -4.672642230987549, -2.739457130432129, -2.913583517074585]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-02-01-04.wav,audio-only,happy,Dogs are sitting by the door,female,"[-632.5515747070312, 67.36894226074219, -1.9796655178070068, 7.817114353179932, 1.5143438577651978, 14.244508743286133, -5.054084300994873, 0.1672494113445282, 1.997617244720459, 0.4492932856082916, -1.3155697584152222, 1.7949014902114868, -6.71684455871582, -2.5764222145080566, -3.039120674133301, -1.984344244003296, -2.8064632415771484, -1.8059364557266235, -4.700283050537109, -2.038041353225708]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-03-01-02-02-04.wav,audio-only,happy,Dogs are sitting by the door,female,"[-616.4993896484375, 65.55977630615234, -1.5018537044525146, 5.790309906005859, -0.9083366990089417, 12.348244667053223, -4.698582172393799, -1.6194096803665161, 3.639975070953369, 0.007639220450073481, -3.840304136276245, -0.3913520276546478, -8.22474193572998, -3.7347264289855957, -3.17338228225708, -1.1709915399551392, -3.728541374206543, -4.221630096435547, -3.6183176040649414, -2.1191585063934326]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-01-01-04.wav,audio-only,happy,Kids are talking by the door,female,"[-501.96771240234375, 64.02897644042969, -10.212445259094238, 2.50990629196167, -6.069986343383789, 9.297085762023926, -9.19764518737793, -4.5720062255859375, 1.5630908012390137, 2.5276613235473633, -1.1054768562316895, -0.8756806254386902, -11.516156196594238, -5.489617824554443, -4.367598533630371, -4.291162967681885, -2.1358768939971924, -3.6423823833465576, -1.5469250679016113, -0.6451790928840637]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-01-02-04.wav,audio-only,happy,Kids are talking by the door,female,"[-500.1271057128906, 48.7869987487793, -11.43392562866211, 1.0637714862823486, -4.981774806976318, 10.474724769592285, -10.336036682128906, -4.90567684173584, 0.24899756908416748, -0.08684783428907394, -5.661754131317139, 0.3999640941619873, -8.133726119995117, -6.1712846755981445, -2.7838497161865234, -0.749629557132721, -2.4917373657226562, -5.4173150062561035, -2.1477222442626953, -1.8110475540161133]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-02-01-04.wav,audio-only,happy,Dogs are sitting by the door,female,"[-513.0431518554688, 49.05735778808594, -7.244534969329834, 3.60976505279541, -3.0228424072265625, 8.88315200805664, -7.953320026397705, -3.1623568534851074, -0.40515977144241333, 0.08343686163425446, -6.456207752227783, -1.0005155801773071, -8.435379028320312, -5.2599053382873535, -4.274969577789307, -2.0746426582336426, -4.114384174346924, -6.131121635437012, -3.129152536392212, -2.5308094024658203]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-03-02-02-02-04.wav,audio-only,happy,Dogs are sitting by the door,female,"[-459.471923828125, 55.14942932128906, -13.74735164642334, 1.08647882938385, -7.986167907714844, 8.125890731811523, -10.690603256225586, -2.1134660243988037, 1.2357163429260254, -1.1215524673461914, -7.074058532714844, -2.2906720638275146, -13.683334350585938, -7.3045783042907715, -4.4220404624938965, -1.514670729637146, -4.316045761108398, -4.927995681762695, -2.151195526123047, -4.6017866134643555]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-01-01-04.wav,audio-only,sad,Kids are talking by the door,female,"[-698.607421875, 58.09825134277344, 3.245204448699951, 13.963043212890625, 2.201695203781128, 15.503273963928223, -5.270387172698975, 3.8992390632629395, -0.20189087092876434, 0.9370837807655334, 0.8713461756706238, 2.371405839920044, -4.179756164550781, -4.743237495422363, -3.2290995121002197, -3.0111284255981445, -1.0874929428100586, -2.3392224311828613, -4.366698265075684, -2.197023868560791]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-01-02-04.wav,audio-only,sad,Kids are talking by the door,female,"[-603.8206176757812, 54.2402229309082, -3.6407246589660645, 11.16647720336914, -2.3362936973571777, 10.11182689666748, -6.886620998382568, -3.447676420211792, 0.8657897710800171, 0.8852502703666687, -3.0010294914245605, 2.0018393993377686, -7.193855285644531, -9.066672325134277, -4.166487693786621, -0.6947339773178101, -3.357956647872925, -5.480241298675537, -2.343843936920166, -3.5354957580566406]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-02-01-04.wav,audio-only,sad,Dogs are sitting by the door,female,"[-602.3991088867188, 56.085533142089844, -7.014522075653076, 14.339414596557617, -5.6674485206604, 14.864314079284668, -6.590054035186768, -3.1296374797821045, 1.6379432678222656, -0.631210446357727, -4.168347358703613, 0.18280860781669617, -8.066035270690918, -7.601576328277588, -4.806407928466797, -0.2404569685459137, -4.958974838256836, -6.562406063079834, -3.284175157546997, -4.758182048797607]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-04-01-02-02-04.wav,audio-only,sad,Dogs are sitting by the door,female,"[-610.6443481445312, 46.13484191894531, -8.64107608795166, 12.266626358032227, -7.957010269165039, 13.158042907714844, -8.163763999938965, -6.611817836761475, 0.9591312408447266, -1.091856837272644, -6.370409965515137, -1.3460687398910522, -8.555826187133789, -8.031003952026367, -4.319133758544922, -2.087183952331543, -4.527276515960693, -7.032924652099609, -3.334480047225952, -3.9620933532714844]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-01-01-04.wav,audio-only,sad,Kids are talking by the door,female,"[-539.6600341796875, 53.91978454589844, -14.270818710327148, 3.4179892539978027, -8.725666046142578, 8.984771728515625, -7.163400173187256, -6.534119606018066, -0.4477052688598633, 0.36487922072410583, -7.349872589111328, -2.6008520126342773, -9.45776081085205, -9.256009101867676, -6.662581920623779, -4.764198303222656, -3.5726916790008545, -5.473352909088135, -3.004836082458496, -1.6464433670043945]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-01-02-04.wav,audio-only,sad,Kids are talking by the door,female,"[-500.4569091796875, 43.65771484375, -11.42531967163086, 6.36383581161499, -5.397572040557861, 6.240161418914795, -8.022760391235352, -7.883100986480713, -2.418435573577881, -0.7796481847763062, -4.956625938415527, -1.1606253385543823, -6.654463768005371, -7.363851070404053, -5.423118591308594, -3.5239195823669434, -4.538784503936768, -3.1127371788024902, -1.8721576929092407, -0.04922157898545265]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-02-01-04.wav,audio-only,sad,Dogs are sitting by the door,female,"[-454.407958984375, 45.324981689453125, -22.969345092773438, 0.8153307437896729, -13.463776588439941, 4.71920919418335, -10.61144733428955, -9.373308181762695, -1.5907139778137207, -4.537744522094727, -9.825356483459473, -6.686478137969971, -12.264846801757812, -12.55783748626709, -6.805367469787598, -2.766791820526123, -5.860766887664795, -7.859674453735352, -4.4892659187316895, -2.8986639976501465]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-04-02-02-02-04.wav,audio-only,sad,Dogs are sitting by the door,female,"[-479.4750061035156, 48.733184814453125, -20.487625122070312, 2.96842622756958, -12.0496187210083, 10.18225383758545, -9.089747428894043, -7.205063819885254, -0.6527464389801025, -3.535677909851074, -7.1231560707092285, -3.496615409851074, -11.101631164550781, -8.501230239868164, -5.853764533996582, -3.6561119556427, -4.9249138832092285, -7.592448711395264, -4.6182332038879395, -3.255207061767578]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-05-01-01-01-04.wav,audio-only,angry,Kids are talking by the door,female,"[-574.6679077148438, 56.52629470825195, -2.960240125656128, 8.754731178283691, 1.4130955934524536, 7.795194625854492, -5.879056930541992, -1.4384218454360962, 0.3658006191253662, -1.0252184867858887, -1.2781243324279785, -1.1508066654205322, -9.105528831481934, -4.42063570022583, -1.5046374797821045, -2.1732075214385986, -3.1971042156219482, -4.407806873321533, -5.228095531463623, -1.7189538478851318]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-05-01-01-02-04.wav,audio-only,angry,Kids are talking by the door,female,"[-547.2146606445312, 51.439239501953125, -6.0473952293396, 7.333675861358643, 1.5771785974502563, 6.957637310028076, -7.784335136413574, -4.172725677490234, 0.4417272210121155, -0.7321158051490784, -2.9062399864196777, 0.2915375530719757, -8.32295036315918, -5.714573383331299, -2.097900152206421, -0.9655510783195496, -3.8996422290802, -4.325197696685791, -3.580122947692871, -1.0592578649520874]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-05-01-02-01-04.wav,audio-only,angry,Dogs are sitting by the door,female,"[-561.4768676757812, 49.243812561035156, -5.813301086425781, 9.28905200958252, -2.772817850112915, 9.173373222351074, -8.803417205810547, -2.131993532180786, -0.5713490843772888, -0.712203323841095, -4.814493179321289, 1.2388650178909302, -9.701997756958008, -5.566276550292969, -3.7345681190490723, -2.870593547821045, -6.1341023445129395, -3.9945218563079834, -5.035046577453613, -2.185533046722412]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-05-01-02-02-04.wav,audio-only,angry,Dogs are sitting by the door,female,"[-585.0425415039062, 58.0549201965332, -5.070730209350586, 11.003886222839355, 0.07944899052381516, 8.779011726379395, -8.755341529846191, -0.954890787601471, -0.021116293966770172, -0.44318366050720215, -1.4231122732162476, -1.3253028392791748, -9.448497772216797, -4.912733554840088, -4.247369289398193, -2.57696270942688, -3.638514995574951, -4.645136833190918, -4.2772674560546875, 0.24258071184158325]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-05-02-01-01-04.wav,audio-only,angry,Kids are talking by the door,female,"[-409.2277526855469, 44.884273529052734, -15.052273750305176, 5.645872116088867, -2.8008837699890137, 6.079084396362305, -15.669621467590332, -3.385713577270508, 1.070467472076416, -3.771233320236206, -4.642271518707275, 1.920638918876648, -9.06155014038086, -4.589749336242676, -2.926165819168091, -1.3329625129699707, -4.723191261291504, -4.1104936599731445, -1.3688374757766724, -2.4319398403167725]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-05-02-01-02-04.wav,audio-only,angry,Kids are talking by the door,female,"[-434.63201904296875, 47.774105072021484, -13.263957977294922, 7.696765422821045, -1.2116236686706543, 5.466278553009033, -13.161905288696289, -4.379394054412842, 0.9681692123413086, -1.8647416830062866, -5.970787048339844, 0.810072660446167, -9.856729507446289, -5.912722110748291, -2.8014729022979736, -0.5675931572914124, -5.922023773193359, -4.864810943603516, -1.7344660758972168, -2.6511027812957764]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-05-02-02-01-04.wav,audio-only,angry,Dogs are sitting by the door,female,"[-394.84222412109375, 39.20486068725586, -14.854610443115234, 5.960145950317383, -5.9962873458862305, 9.70505428314209, -14.871124267578125, -3.5381669998168945, 1.6872692108154297, -3.8424930572509766, -5.074213981628418, -0.5545499920845032, -12.532869338989258, -6.259774208068848, -3.3392691612243652, -2.677349328994751, -6.094475269317627, -3.0399394035339355, -2.279470443725586, -2.783689260482788]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-05-02-02-02-04.wav,audio-only,angry,Dogs are sitting by the door,female,"[-450.4918518066406, 39.787445068359375, -15.541988372802734, 9.4407320022583, -7.251692771911621, 5.273097515106201, -19.175416946411133, -2.8516156673431396, -1.9216952323913574, -5.891513347625732, -7.195102214813232, -0.06331897526979446, -11.251850128173828, -5.387001037597656, -3.4320945739746094, -3.910048007965088, -7.792162895202637, -2.921436309814453, -3.2064619064331055, -4.845663070678711]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-06-01-01-01-04.wav,audio-only,fearful,Kids are talking by the door,female,"[-564.2703247070312, 53.11044692993164, -7.842034816741943, 8.24954605102539, -3.218183755874634, 6.801078796386719, -9.138015747070312, -4.585771083831787, 0.9475621581077576, 2.323258399963379, -1.7250460386276245, -1.4840991497039795, -7.733182430267334, -7.474287986755371, -4.223132610321045, -2.941492795944214, -3.8808066844940186, -5.715819358825684, -3.710254192352295, -2.1420090198516846]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-06-01-01-02-04.wav,audio-only,fearful,Kids are talking by the door,female,"[-549.6443481445312, 56.9349365234375, -12.352974891662598, 5.5240983963012695, -3.8402042388916016, 9.969778060913086, -8.693982124328613, -3.325162410736084, -0.33822354674339294, 1.0511633157730103, -3.943854808807373, -2.084557294845581, -7.570115089416504, -6.702416896820068, -3.749091625213623, -1.6842082738876343, -4.375382900238037, -5.638791084289551, -3.5135467052459717, -2.4121127128601074]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-06-01-02-01-04.wav,audio-only,fearful,Dogs are sitting by the door,female,"[-560.4739379882812, 52.39456558227539, -5.7555131912231445, 8.18639087677002, -4.402495861053467, 9.281185150146484, -6.862973690032959, -2.4523606300354004, 1.4182007312774658, 2.781238317489624, -5.094847202301025, -1.0267462730407715, -7.976212978363037, -7.523664951324463, -4.6492228507995605, -2.2038962841033936, -4.950091361999512, -6.691867351531982, -4.083991050720215, -0.4591978192329407]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-06-01-02-02-04.wav,audio-only,fearful,Dogs are sitting by the door,female,"[-561.4362182617188, 50.74565124511719, -5.081012725830078, 9.756685256958008, -4.137321472167969, 8.16799545288086, -7.48403787612915, -3.598215341567993, -0.4143715500831604, 2.190039873123169, -2.4613120555877686, -0.9337780475616455, -7.191876411437988, -6.962218761444092, -4.943168640136719, -2.7156214714050293, -3.6497795581817627, -5.498466968536377, -4.437709808349609, -2.9108266830444336]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-06-02-01-01-04.wav,audio-only,fearful,Kids are talking by the door,female,"[-416.798095703125, 44.875083923339844, -23.5356502532959, 9.659469604492188, -10.762134552001953, 5.6454010009765625, -11.459516525268555, -3.710538864135742, 2.861593008041382, 3.4847259521484375, -2.4016377925872803, -0.6942501664161682, -12.041043281555176, -9.696831703186035, -4.935027122497559, -0.9287999868392944, -1.29209303855896, -1.0014851093292236, -3.1671948432922363, -2.761540174484253]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-06-02-01-02-04.wav,audio-only,fearful,Kids are talking by the door,female,"[-453.69451904296875, 44.70055389404297, -13.7852201461792, 6.327452659606934, -6.85754919052124, 4.990592956542969, -10.751890182495117, -4.117251396179199, -2.5355658531188965, 0.3915913999080658, -4.230487823486328, -0.6936044096946716, -6.944767951965332, -6.569746494293213, -5.201244354248047, -2.59135103225708, -3.9883289337158203, -4.148251533508301, -2.7031757831573486, -3.907991886138916]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-06-02-02-01-04.wav,audio-only,fearful,Dogs are sitting by the door,female,"[-431.5040283203125, 42.24443435668945, -11.565325736999512, 8.012535095214844, -7.161823272705078, 2.784181833267212, -12.391870498657227, -3.2126009464263916, -2.3194737434387207, -2.5099563598632812, -5.013453483581543, -3.138664722442627, -10.749878883361816, -7.750335693359375, -4.431473255157471, -0.10042190551757812, -6.2087721824646, -5.634903430938721, -3.4328296184539795, -4.44527006149292]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-06-02-02-02-04.wav,audio-only,fearful,Dogs are sitting by the door,female,"[-433.5596923828125, 38.89150619506836, -10.076384544372559, 7.402218341827393, -10.40954875946045, 5.165471076965332, -11.790480613708496, -4.370518684387207, -2.830493211746216, -2.588502883911133, -6.32258939743042, -2.168351411819458, -10.623123168945312, -5.5965399742126465, -4.62625789642334, -1.3853832483291626, -6.115752696990967, -6.4211812019348145, -1.665060043334961, -3.4183852672576904]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-07-01-01-01-04.wav,audio-only,disgust,Kids are talking by the door,female,"[-611.1632690429688, 58.681522369384766, 3.9378881454467773, 14.268166542053223, -0.7778870463371277, 10.155603408813477, -3.7123122215270996, 0.19907233119010925, -2.9799556732177734, 2.536111831665039, 1.1484200954437256, 1.3246089220046997, -5.50352144241333, -5.362030029296875, -0.8647448420524597, -0.18283331394195557, -2.749300003051758, -1.9935106039047241, -4.424234867095947, -2.828033924102783]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-07-01-01-02-04.wav,audio-only,disgust,Kids are talking by the door,female,"[-611.6262817382812, 65.0836410522461, 0.09098507463932037, 12.609964370727539, -0.4251684248447418, 7.751640796661377, -2.5098166465759277, 0.8401837944984436, -1.5565742254257202, 3.1149299144744873, -2.23960280418396, -3.6905884742736816, -8.555984497070312, -5.852358818054199, -4.055479526519775, -1.2376844882965088, -4.541938781738281, -3.712618112564087, -3.9862923622131348, -2.7540934085845947]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-07-01-02-01-04.wav,audio-only,disgust,Dogs are sitting by the door,female,"[-587.6707153320312, 48.80946731567383, 3.600541114807129, 10.723362922668457, -5.2736310958862305, 10.08014965057373, -5.608007431030273, -0.8858428597450256, 0.7315610647201538, 0.38777390122413635, -2.4142041206359863, -1.814904808998108, -8.496147155761719, -3.8138375282287598, -4.001117706298828, -0.7806907892227173, -5.510743141174316, -3.6588690280914307, -3.8236918449401855, -3.0557034015655518]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-07-01-02-02-04.wav,audio-only,disgust,Dogs are sitting by the door,female,"[-566.146728515625, 43.752567291259766, 0.3888818323612213, 9.682753562927246, -6.673864364624023, 11.86848258972168, -3.866124153137207, 0.4172838628292084, 1.8044705390930176, 1.8889588117599487, -4.152353763580322, -1.152500033378601, -7.5345587730407715, -3.0793464183807373, -1.8004035949707031, -0.16123194992542267, -3.5189104080200195, -3.495434045791626, -2.391369342803955, -1.6878576278686523]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-07-02-01-01-04.wav,audio-only,disgust,Kids are talking by the door,female,"[-515.5136108398438, 48.52228546142578, -4.9977850914001465, 11.171239852905273, -0.421364963054657, 9.204087257385254, -6.157034397125244, -1.3763459920883179, 0.7450261116027832, 0.539338231086731, -1.6811549663543701, 0.39537450671195984, -7.32857608795166, -4.917019367218018, -3.0818896293640137, -2.0235989093780518, -3.5295233726501465, -3.7426607608795166, -4.151434898376465, -2.5046157836914062]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-07-02-01-02-04.wav,audio-only,disgust,Kids are talking by the door,female,"[-533.1851196289062, 51.57193374633789, -3.7417244911193848, 12.216547966003418, -0.45334625244140625, 6.73327112197876, -3.9840028285980225, -1.9611696004867554, -2.827314615249634, 1.5088963508605957, -2.2880918979644775, 0.3471469581127167, -5.244454383850098, -5.3944573402404785, -2.760735034942627, -1.9672877788543701, -3.7838430404663086, -4.317384243011475, -3.3847718238830566, -2.172346830368042]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-07-02-02-01-04.wav,audio-only,disgust,Dogs are sitting by the door,female,"[-559.1566162109375, 52.76901626586914, -1.3517817258834839, 11.322026252746582, -4.866826057434082, 8.190058708190918, -5.692859172821045, -3.5618889331817627, -0.5931633710861206, 3.1652064323425293, -0.9122629165649414, -2.655367851257324, -10.722452163696289, -8.329020500183105, -2.8904433250427246, -1.3538053035736084, -6.717142581939697, -6.640877723693848, -4.032025337219238, -3.9027109146118164]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-07-02-02-02-04.wav,audio-only,disgust,Dogs are sitting by the door,female,"[-528.8305053710938, 47.33214569091797, -2.922822952270508, 13.002950668334961, -4.941812038421631, 5.573429107666016, -8.416703224182129, -2.430172920227051, -2.4396045207977295, 2.343723773956299, -4.1349310874938965, -2.822175979614258, -11.75387954711914, -4.3819169998168945, -4.149836540222168, -2.2743136882781982, -7.106152534484863, -6.576493740081787, -4.5453667640686035, -2.4390833377838135]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-08-01-01-01-04.wav,audio-only,surprised,Kids are talking by the door,female,"[-614.6401977539062, 57.30406951904297, -2.2965309619903564, 6.961799144744873, -1.774029016494751, 9.673638343811035, -6.180230617523193, -2.010082483291626, 0.015204454772174358, 0.20993031561374664, -2.657632827758789, -0.5686227679252625, -7.659961700439453, -6.371047496795654, -2.7583794593811035, -1.8224989175796509, -3.485004186630249, -4.141727447509766, -3.524277925491333, -2.501361131668091]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-08-01-01-02-04.wav,audio-only,surprised,Kids are talking by the door,female,"[-592.09423828125, 55.26802062988281, -4.376287937164307, 6.569058418273926, -1.195629596710205, 9.118453025817871, -7.7632951736450195, -3.095085382461548, -0.052758459001779556, 1.2779544591903687, -4.543968200683594, 0.3180755078792572, -8.708613395690918, -6.650880336761475, -2.6031813621520996, -2.406378746032715, -4.670668125152588, -4.268839359283447, -2.620002508163452, -2.012277603149414]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-08-01-02-01-04.wav,audio-only,surprised,Dogs are sitting by the door,female,"[-565.3519897460938, 52.882057189941406, -0.3488200306892395, 11.795845985412598, -4.242067813873291, 10.645291328430176, -8.454361915588379, -1.5836474895477295, 0.12020780146121979, 0.3283947706222534, -5.609156131744385, -1.4771608114242554, -9.567020416259766, -7.061871528625488, -2.9641871452331543, -2.6897990703582764, -6.441741466522217, -3.8018600940704346, -3.2464706897735596, -2.1992573738098145]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-08-01-02-02-04.wav,audio-only,surprised,Dogs are sitting by the door,female,"[-566.25, 55.10588073730469, -4.8339457511901855, 9.79699420928955, -4.345363140106201, 8.845898628234863, -10.670536994934082, -4.256229877471924, 0.5304945707321167, 1.4950722455978394, -5.287867546081543, -1.365814447402954, -10.180010795593262, -8.447009086608887, -2.502727746963501, -2.9177122116088867, -6.2123212814331055, -4.321250915527344, -1.6899343729019165, -2.9689745903015137]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-08-02-01-01-04.wav,audio-only,surprised,Kids are talking by the door,female,"[-492.3472900390625, 52.83495330810547, -10.651100158691406, 5.173935890197754, -5.082855224609375, 7.986108779907227, -12.882333755493164, -6.841941833496094, 0.1818021535873413, 0.890990674495697, -6.524960517883301, -2.4599406719207764, -10.081562995910645, -7.0465617179870605, -3.670454740524292, -2.7558093070983887, -4.118795871734619, -5.364841461181641, -2.610323190689087, -2.3361496925354004]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_04\03-01-08-02-01-02-04.wav,audio-only,surprised,Kids are talking by the door,female,"[-503.38861083984375, 45.9637336730957, -7.904210090637207, 5.6454691886901855, -5.8845672607421875, 5.606699466705322, -11.72321605682373, -4.401846408843994, 1.5413291454315186, -0.9330931901931763, -5.923678398132324, -3.7517731189727783, -10.342708587646484, -6.918508052825928, -4.277905464172363, -2.2331929206848145, -5.811868190765381, -5.098420143127441, -3.041134834289551, -1.6667520999908447]"
