,emotion,statements,gender,mfcc
datasources\EMO_DB\EMO_DB_DATA\wav\08b10Wa.wav,anger,It will be in the place where we always put it,female,"[-360.34075927734375, 134.33023071289062, -31.985383987426758, -0.6428552865982056, 37.35014724731445, 0.035646192729473114, 3.8043510913848877, 16.648683547973633, -7.217794895172119, -6.465969562530518, 6.071156024932861, -2.433290719985962, 0.039813607931137085, 1.3906666040420532, -12.37331771850586, -5.063051223754883, 6.881371974945068, -5.291957378387451, -10.003926277160645, -3.4006450176239014]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a01Ea.wav,disgust,The tablecloth is lying on the fridge,female,"[-345.22222900390625, 132.2740020751953, -13.476256370544434, -6.853128910064697, 18.822555541992188, -3.4137015342712402, 3.1589088439941406, 15.299015045166016, 1.2289873361587524, -0.4228419363498688, 1.5806772708892822, -5.438912391662598, 0.8185271620750427, 2.724799394607544, -7.282517433166504, -2.3418757915496826, 2.0021986961364746, -5.886501789093018, -0.48898109793663025, 5.827165126800537]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a01Fa.wav,happiness,The tablecloth is lying on the fridge,female,"[-339.80615234375, 151.9964599609375, -53.75962829589844, -31.61056137084961, 24.439088821411133, -9.328184127807617, -13.874587059020996, 8.337996482849121, -3.897380828857422, -9.067538261413574, -2.048050880432129, -9.423890113830566, -7.939956188201904, -1.1675668954849243, -6.621049880981445, -5.145982265472412, -1.923108696937561, -8.779982566833496, -5.161190032958984, 1.650834321975708]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a01Nb.wav,neutral,The tablecloth is lying on the fridge,female,"[-340.09478759765625, 177.3672637939453, -12.4563570022583, -3.141702890396118, 40.987762451171875, 7.928483963012695, -4.030662536621094, 9.686573028564453, 4.507044315338135, 8.84543514251709, 14.765724182128906, 1.7465206384658813, -2.2493698596954346, 0.5334362983703613, -3.6384801864624023, 2.2191035747528076, 5.8256635665893555, -5.316620826721191, -4.216949939727783, 4.16040563583374]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a01Wb.wav,anger,The tablecloth is lying on the fridge,female,"[-378.2919921875, 160.9354248046875, -35.78081512451172, -25.651363372802734, 23.290203094482422, -6.698996067047119, -13.757043838500977, 8.15172290802002, 4.036778450012207, -1.2512197494506836, 0.5721516609191895, -4.030762672424316, -3.508972644805908, -4.7198872566223145, -8.930459022521973, -1.8344907760620117, -1.4516162872314453, -10.733489990234375, -4.782708168029785, 0.7693451642990112]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a02Ea.wav,disgust,She wants to hand that in on Wednesday,female,"[-321.4205017089844, 157.14901733398438, -30.761194229125977, -10.357682228088379, 28.237903594970703, -7.659526348114014, -4.077302932739258, 12.192846298217773, -4.760329246520996, -0.3860287070274353, 8.838569641113281, -6.243020534515381, -5.9579925537109375, 1.4853439331054688, -6.691517353057861, -5.077090740203857, -1.4059432744979858, -9.847596168518066, -5.7781805992126465, 1.6655337810516357]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a02Eb.wav,disgust,She wants to hand that in on Wednesday,female,"[-321.190673828125, 143.80499267578125, -17.603622436523438, -10.28952407836914, 23.154552459716797, 0.6426460146903992, 3.2854461669921875, 15.5658597946167, 2.212833881378174, -1.620252251625061, -1.1989433765411377, -7.336834907531738, -0.9680336117744446, -1.1116172075271606, -12.882769584655762, -8.36801815032959, -3.968991994857788, -11.349421501159668, -5.512038230895996, 0.6563574075698853]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a02La.wav,boredom,She wants to hand that in on Wednesday,female,"[-317.6567077636719, 157.29359436035156, -1.886486530303955, 0.49556490778923035, 42.456356048583984, 15.31338119506836, -5.100856304168701, 9.923481941223145, 14.627927780151367, 8.57756519317627, 5.603798866271973, 2.8134496212005615, 0.494498074054718, -3.652644157409668, -3.9049489498138428, 4.373968124389648, 3.290109157562256, -6.6003241539001465, -3.9120044708251953, 1.0937561988830566]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a02Wb.wav,anger,She wants to hand that in on Wednesday,female,"[-376.6136169433594, 150.44976806640625, -28.528980255126953, -16.657567977905273, 29.02010726928711, 4.854256629943848, -1.6592321395874023, 8.57762622833252, 1.0102356672286987, 3.0819714069366455, 3.995494842529297, -5.444844722747803, -1.6817138195037842, -3.2879223823547363, -14.171853065490723, -4.719899654388428, 1.3685003519058228, -11.965353965759277, -9.266960144042969, 0.7110543847084045]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a04Fd.wav,happiness,I could tell him Tonight,female,"[-388.4221496582031, 154.50721740722656, -35.846805572509766, -19.36829948425293, 25.315458297729492, -10.32446575164795, -14.474681854248047, 7.109918594360352, -2.7756268978118896, -4.847762107849121, 3.4455668926239014, -4.586988925933838, -6.4298834800720215, -1.8422030210494995, -4.966047763824463, -2.045747995376587, -1.8044344186782837, -11.590008735656738, -8.415696144104004, -0.8517334461212158]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a04La.wav,boredom,I could tell him Tonight,female,"[-321.9938659667969, 185.95620727539062, -1.610345482826233, -0.4591373801231384, 44.3153190612793, 13.06531047821045, -6.097938537597656, 9.527334213256836, 12.08093547821045, 9.850118637084961, 8.850197792053223, 2.9851651191711426, 2.823537588119507, -0.06925095617771149, -5.83219051361084, 2.6908271312713623, 6.649786949157715, -4.694242477416992, -3.519747018814087, 4.402589797973633]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a04Nb.wav,neutral,I could tell him Tonight,female,"[-314.9197692871094, 190.4616241455078, -13.09522533416748, 0.9790263175964355, 44.22340393066406, 3.614950180053711, -4.910362243652344, 13.936717987060547, 6.3506903648376465, 8.581939697265625, 14.498502731323242, 1.7982096672058105, -2.182490348815918, -1.7558265924453735, -5.753640174865723, 3.747331380844116, 6.184335231781006, -6.899774551391602, -2.4333205223083496, 5.834415435791016]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a04Wa.wav,anger,I could tell him Tonight,female,"[-367.5646057128906, 145.15357971191406, -24.568220138549805, -21.868911743164062, 18.533998489379883, -2.4853899478912354, -6.108527660369873, 9.688705444335938, 3.109699249267578, -0.03500346466898918, 4.06218957901001, -1.0844535827636719, -2.788461208343506, -3.836521625518799, -7.6412835121154785, -1.387589693069458, 0.04647928476333618, -9.63663387298584, -6.6562089920043945, 0.0954490378499031]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Ed.wav,disgust,The black piece of paper is up there next to the piece of wood,female,"[-327.8359069824219, 136.15118408203125, -16.696250915527344, 6.914129257202148, 36.273616790771484, -0.42328011989593506, 2.118800163269043, 15.823249816894531, -0.560938835144043, 2.0765085220336914, 6.981223106384277, -8.765143394470215, -5.916207790374756, 3.6210567951202393, -4.388323783874512, -3.4500648975372314, 1.3390001058578491, -6.076117515563965, -4.486922740936279, 1.2607758045196533]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Lc.wav,boredom,The black piece of paper is up there next to the piece of wood,female,"[-338.15240478515625, 169.22230529785156, -18.59922981262207, 4.4472737312316895, 51.551517486572266, 11.99399185180664, 0.6269704103469849, 15.27815055847168, 4.932860374450684, 6.880412578582764, 13.468077659606934, -0.2772076725959778, -3.2877495288848877, 1.6334309577941895, -2.2783594131469727, 4.258230686187744, 8.28469467163086, -5.43744421005249, -5.982086181640625, 4.670516014099121]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Nb.wav,neutral,The black piece of paper is up there next to the piece of wood,female,"[-371.30987548828125, 165.92959594726562, -8.641176223754883, 8.523706436157227, 49.99684524536133, 14.40043830871582, 2.6283023357391357, 14.542683601379395, 6.495329856872559, 7.051024913787842, 10.171744346618652, 1.3439366817474365, 1.2791879177093506, -1.053861141204834, -8.305370330810547, 2.0436227321624756, 6.776368141174316, -6.532392501831055, -5.371942043304443, 1.97951078414917]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Tb.wav,sadness,The black piece of paper is up there next to the piece of wood,female,"[-308.8841552734375, 159.58633422851562, -18.423524856567383, 6.3076491355896, 45.52994155883789, 7.497425556182861, 6.56983757019043, 19.812589645385742, 3.343647003173828, 10.066389083862305, 18.20108413696289, -2.2131106853485107, -3.1592392921447754, 6.959165096282959, -1.4809304475784302, 2.436248779296875, 10.51327133178711, -2.8028035163879395, -4.281394958496094, 7.1774444580078125]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Wb.wav,anger,The black piece of paper is up there next to the piece of wood,female,"[-321.5420227050781, 139.59156799316406, -36.11686706542969, -16.29596519470215, 29.840951919555664, -3.2688539028167725, -13.349553108215332, 2.35357928276062, -2.084763288497925, -0.6168115139007568, 1.368336796760559, -8.981064796447754, -7.571308135986328, -4.582426071166992, -8.857795715332031, -1.448326826095581, 0.10722661763429642, -11.529826164245605, -6.425539970397949, 1.876592993736267]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a05Wc.wav,anger,The black piece of paper is up there next to the piece of wood,female,"[-348.59783935546875, 130.92745971679688, -39.48108673095703, -20.505535125732422, 26.07979965209961, -4.929347991943359, -15.49245834350586, 1.8277857303619385, 0.18860557675361633, -1.9572994709014893, -4.274056434631348, -11.285884857177734, -6.166234493255615, -5.101202487945557, -10.724691390991211, -1.9351611137390137, -0.46664172410964966, -12.922101974487305, -7.168687343597412, 1.9012657403945923]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Eb.wav,disgust,It will be ready in seven hours,female,"[-309.7540283203125, 124.41333770751953, -9.2346830368042, 5.115801811218262, 27.239229202270508, 1.6407779455184937, 10.195867538452148, 17.610074996948242, -3.865770101547241, -0.7436879873275757, 6.752552032470703, -7.234049320220947, -5.144014358520508, 1.5822361707687378, -8.541977882385254, -5.312789440155029, 3.2487215995788574, -5.887475490570068, -6.608545303344727, 2.4636778831481934]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Na.wav,neutral,It will be ready in seven hours,female,"[-284.90020751953125, 152.75057983398438, -11.025850296020508, 10.36747932434082, 46.83656311035156, 9.387190818786621, 4.12131929397583, 19.924121856689453, 9.325789451599121, 8.877863883972168, 12.188597679138184, 0.14748245477676392, -1.2180635929107666, -0.7334347367286682, -8.472524642944336, -1.001378059387207, 5.118578910827637, -6.461612224578857, -5.922930717468262, 3.9702324867248535]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Ta.wav,sadness,It will be ready in seven hours,female,"[-268.1410217285156, 160.92991638183594, -13.859965324401855, 7.255805969238281, 41.7738151550293, 4.181344032287598, 7.1501145362854, 24.015390396118164, 7.680794715881348, 11.506357192993164, 19.863115310668945, 2.76780104637146, 0.5217453241348267, 5.982223987579346, -3.359278678894043, 2.179502248764038, 11.46176528930664, -1.1179747581481934, -4.025350093841553, 6.016177177429199]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Wb.wav,anger,It will be ready in seven hours,female,"[-337.51068115234375, 149.72238159179688, -56.7748908996582, -26.28810691833496, 31.07834243774414, -5.900373458862305, -14.854050636291504, 1.0712110996246338, -5.035604000091553, 0.05145834758877754, 0.5397453904151917, -12.279372215270996, -5.727848052978516, -4.78430700302124, -15.514598846435547, -3.4238245487213135, 0.6538795828819275, -16.681915283203125, -10.064467430114746, 1.9243580102920532]"
datasources\EMO_DB\EMO_DB_DATA\wav\09a07Wd.wav,anger,It will be ready in seven hours,female,"[-341.0673828125, 155.3551483154297, -28.215721130371094, -11.094016075134277, 30.76508140563965, 0.7766672968864441, -1.7056903839111328, 10.311882019042969, 0.9454036355018616, 4.177645683288574, 4.46390962600708, -5.007518291473389, 0.8945432305335999, -2.9914395809173584, -13.772858619689941, 0.23947367072105408, 2.4587671756744385, -16.259565353393555, -9.076671600341797, 2.752223014831543]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b01Ea.wav,disgust,What kind of bags are there under the table,female,"[-313.98455810546875, 131.879150390625, -40.20598602294922, -3.940082550048828, 32.795230865478516, -4.43916130065918, 8.254125595092773, 21.731836318969727, -7.271924018859863, -5.299747943878174, 4.083347797393799, -11.790840148925781, -6.261734962463379, 2.528510570526123, -10.12158489227295, -5.804757595062256, 1.41972815990448, -11.061325073242188, -7.690831661224365, 3.782538414001465]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b01Na.wav,neutral,What kind of bags are there under the table,female,"[-316.7237243652344, 158.5523681640625, -21.18938636779785, 7.579216957092285, 53.613956451416016, 13.77070140838623, 5.819842338562012, 21.035274505615234, 7.573634147644043, 5.275010585784912, 8.923840522766113, -2.204432964324951, -2.17044997215271, -0.4636515974998474, -5.848767280578613, 3.651731014251709, 5.867584705352783, -10.586121559143066, -7.972618579864502, 3.5462331771850586]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b01Wb.wav,anger,What kind of bags are there under the table,female,"[-329.5443115234375, 163.7464599609375, -46.998008728027344, -18.7194766998291, 37.80781936645508, 2.834836721420288, -3.094874382019043, 11.314966201782227, 0.01656952314078808, -0.14173069596290588, -3.5278854370117188, -15.60827922821045, -4.552759170532227, -1.7803679704666138, -13.184076309204102, -0.916917622089386, 1.5138294696807861, -18.792192459106445, -11.317370414733887, 3.4847769737243652]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b02Na.wav,neutral,They just carried it up and now they're going down again,female,"[-297.7940673828125, 174.7150421142578, -4.157116413116455, 10.166933059692383, 48.3973503112793, 6.435420989990234, -5.906067371368408, 14.895798683166504, 11.081029891967773, 7.8174052238464355, 10.153955459594727, 1.1629787683486938, -2.099736452102661, -1.4869245290756226, -3.840474843978882, 1.7179094552993774, 1.6461856365203857, -7.159954071044922, -2.4293646812438965, 3.1470062732696533]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b02Tb.wav,sadness,They just carried it up and now they're going down again,female,"[-273.0032653808594, 176.45057678222656, -8.821151733398438, 11.014666557312012, 47.523040771484375, 6.135777950286865, 3.7555596828460693, 20.171945571899414, 6.125917434692383, 11.394286155700684, 20.45526123046875, 2.806861400604248, -1.28914213180542, 4.908819675445557, -1.0819178819656372, 3.371560573577881, 8.068047523498535, -2.96633243560791, -1.6871066093444824, 5.0037617683410645]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b02Wc.wav,anger,They just carried it up and now they're going down again,female,"[-288.2223815917969, 182.5338592529297, -26.22470474243164, -2.1144912242889404, 38.32159423828125, -3.6508350372314453, -2.1883022785186768, 10.797590255737305, -4.415679931640625, 8.69603157043457, 14.76007080078125, -7.611101150512695, -2.9506373405456543, 3.4681010246276855, -11.073600769042969, -1.6927578449249268, 7.465433597564697, -10.387327194213867, -8.302854537963867, 4.7150468826293945]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b02Wd.wav,anger,They just carried it up and now they're going down again,female,"[-357.1197814941406, 167.91110229492188, -25.33228874206543, -14.552607536315918, 32.11089324951172, 0.6303547024726868, -11.047220230102539, 1.9740724563598633, -1.7169926166534424, 3.5203542709350586, 6.483694553375244, -5.568981647491455, -3.9548680782318115, -2.0687904357910156, -10.561720848083496, -2.676995038986206, 3.1507651805877686, -9.928895950317383, -8.25999641418457, 1.7791869640350342]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Ed.wav,disgust,I used to go home on the weekends and visit Agnes,female,"[-336.5294494628906, 168.83526611328125, -16.83028221130371, -5.764707088470459, 26.594825744628906, -7.15002965927124, -2.711829900741577, 13.086612701416016, -3.221268892288208, -0.16810153424739838, 8.499885559082031, -3.7349164485931396, -2.6299893856048584, 1.9396814107894897, -7.4661431312561035, -3.857358932495117, 1.2553980350494385, -8.534015655517578, -6.217966079711914, 1.7836964130401611]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Fa.wav,happiness,I used to go home on the weekends and visit Agnes,female,"[-332.4913024902344, 134.3614501953125, -29.55030059814453, -17.813322067260742, 22.455509185791016, -6.730560302734375, -15.180109977722168, 1.249732494354248, -1.2222304344177246, 0.5528901815414429, 3.064514636993408, -7.7126946449279785, -7.2278337478637695, -1.8838067054748535, -6.748683929443359, -4.248922824859619, -1.837088704109192, -10.432785034179688, -7.5702643394470215, 0.6247686743736267]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Fd.wav,happiness,I used to go home on the weekends and visit Agnes,female,"[-289.2321472167969, 152.6764678955078, -26.890897750854492, -11.845474243164062, 26.114362716674805, -9.378632545471191, -10.23148250579834, 11.267871856689453, 1.3067080974578857, -0.6879891753196716, 2.9520320892333984, -8.580567359924316, -6.173309326171875, 0.5917666554450989, -8.217015266418457, -7.1892805099487305, -2.208507776260376, -10.751248359680176, -8.735382080078125, 0.3560890257358551]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Lb.wav,boredom,I used to go home on the weekends and visit Agnes,female,"[-304.2452392578125, 181.47972106933594, -10.707733154296875, 1.6911503076553345, 49.07877731323242, 10.229500770568848, -8.840508460998535, 8.516901969909668, 9.714790344238281, 12.510393142700195, 14.917989730834961, 2.1756370067596436, -0.6417253017425537, 2.8125874996185303, -1.8864368200302124, 1.5217218399047852, 3.967866897583008, -5.9607391357421875, -4.424289226531982, 3.2790729999542236]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Nb.wav,neutral,I used to go home on the weekends and visit Agnes,female,"[-299.0472717285156, 174.41844177246094, -1.387068271636963, 7.841900825500488, 46.04683303833008, 7.605487823486328, -6.723757743835449, 13.231403350830078, 12.624703407287598, 9.360064506530762, 9.687520027160645, 1.2089269161224365, -0.6778612732887268, 0.6781893968582153, -1.9913007020950317, 1.939937710762024, 0.7191991806030273, -8.138498306274414, -3.0621750354766846, 2.8283398151397705]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Ta.wav,sadness,I used to go home on the weekends and visit Agnes,female,"[-264.95452880859375, 178.52468872070312, -11.106362342834473, 2.6984059810638428, 45.9677848815918, 7.335360050201416, -5.826013565063477, 11.07421875, 9.50568675994873, 15.19492244720459, 17.00048065185547, -0.35550248622894287, -0.41503915190696716, 7.91243839263916, 0.6596477031707764, 0.8865095376968384, 4.948785781860352, -3.0434205532073975, -1.006697416305542, 6.261111736297607]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b03Wb.wav,anger,I used to go home on the weekends and visit Agnes,female,"[-332.06195068359375, 162.30081176757812, -38.18524169921875, -18.900104522705078, 29.83582305908203, -8.881635665893555, -18.51216697692871, 3.1754980087280273, 0.3228853940963745, -1.2956597805023193, -0.8808140158653259, -6.636534214019775, -2.1605355739593506, -5.18715238571167, -13.33166217803955, -2.19425630569458, -0.6259804368019104, -14.711692810058594, -7.492142677307129, 1.3399111032485962]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b09Ea.wav,disgust,I want to take that away and then go have a drink with Karl,female,"[-339.7709045410156, 132.5209503173828, -13.643974304199219, 1.5826280117034912, 32.749114990234375, 7.188503265380859, 10.358722686767578, 20.878318786621094, 3.749582290649414, 1.7294635772705078, 5.402980327606201, -4.966783046722412, -2.9983911514282227, 0.5545027852058411, -7.278563022613525, -3.1704463958740234, 1.3373615741729736, -7.37386417388916, -5.385132312774658, 1.331954836845398]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b09Nd.wav,neutral,I want to take that away and then go have a drink with Karl,female,"[-308.4179382324219, 156.00111389160156, -3.4122631549835205, 5.0324907302856445, 40.98749542236328, 13.599626541137695, 6.670443534851074, 18.922405242919922, 10.849536895751953, 8.537903785705566, 9.44743824005127, 0.6054624319076538, 0.8372511863708496, 1.0372587442398071, -4.723091125488281, 2.7750232219696045, 5.921640872955322, -6.434125900268555, -4.656729221343994, 4.195376873016357]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b09Wa.wav,anger,I want to take that away and then go have a drink with Karl,female,"[-315.55133056640625, 159.603271484375, -32.92366027832031, -17.190080642700195, 35.056026458740234, 7.2723188400268555, -3.250401020050049, 9.933406829833984, 4.790432929992676, 1.8392877578735352, -2.7361204624176025, -9.464093208312988, -1.6874080896377563, -4.643545627593994, -14.898024559020996, -2.880307197570801, -0.0079288175329566, -15.773971557617188, -9.1151123046875, 2.4267382621765137]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b10Aa.wav,anxiety/fear,It will be in the place where we always put it,female,"[-280.63140869140625, 163.05137634277344, -26.752201080322266, -1.008733868598938, 45.83480453491211, 4.682581901550293, -4.167298793792725, 13.347797393798828, 3.226508855819702, 3.0117297172546387, 6.718457221984863, -5.0665483474731445, -4.289434909820557, -2.454606771469116, -10.349345207214355, -2.395230770111084, 1.054479956626892, -14.197938919067383, -11.218786239624023, 0.19471976161003113]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b10Nd.wav,neutral,It will be in the place where we always put it,female,"[-325.7554931640625, 171.498291015625, -4.245126247406006, 8.03843879699707, 53.02867889404297, 18.328027725219727, 1.5750504732131958, 17.9080753326416, 13.537684440612793, 6.177274227142334, 7.785109043121338, 4.216999530792236, 0.9311420321464539, -2.980297327041626, -4.582210063934326, 4.194007873535156, 3.248911142349243, -9.021397590637207, -5.679032325744629, 1.4452961683273315]"
datasources\EMO_DB\EMO_DB_DATA\wav\09b10Wa.wav,anger,It will be in the place where we always put it,female,"[-328.4803771972656, 164.06068420410156, -44.93723678588867, -16.535720825195312, 40.220855712890625, 3.3344550132751465, -5.975046157836914, 8.082030296325684, -1.0553269386291504, 2.3346927165985107, 2.7817790508270264, -10.411396980285645, -3.8879969120025635, -1.9358938932418823, -12.77802562713623, -1.985059380531311, 1.382454514503479, -16.27928352355957, -9.614725112915039, 3.0373194217681885]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a01Ac.wav,anxiety/fear,The tablecloth is lying on the fridge,female,"[-332.1028747558594, 170.52261352539062, -42.163021087646484, -2.428976535797119, 41.01205825805664, -9.396148681640625, -1.7480570077896118, 17.747407913208008, -7.934414386749268, -2.7881226539611816, 10.098977088928223, -3.6954574584960938, 3.60433030128479, 9.204867362976074, -8.234768867492676, -0.6108717918395996, 10.581340789794922, -7.179793834686279, -10.37690544128418, 1.67626953125]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a01Ea.wav,disgust,The tablecloth is lying on the fridge,female,"[-312.2179260253906, 172.0856475830078, -31.725011825561523, 6.341583728790283, 40.38429260253906, -8.61168384552002, 7.260352611541748, 25.236618041992188, -2.787543773651123, 7.1962571144104, 17.351985931396484, -6.587229251861572, -1.6712664365768433, 4.819779872894287, -16.82664680480957, -9.684549331665039, 9.278825759887695, -2.5370023250579834, -8.158801078796387, -0.6036338806152344]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a01Ec.wav,disgust,The tablecloth is lying on the fridge,female,"[-271.8716735839844, 158.97181701660156, -31.54159164428711, 3.8415589332580566, 39.69166946411133, -4.760910987854004, 7.894960403442383, 25.83348846435547, -0.8883258700370789, 4.663847923278809, 14.772614479064941, -7.170087814331055, -5.543401718139648, 3.8430821895599365, -10.328740119934082, -6.065328121185303, 6.944827556610107, -3.2017743587493896, -5.8652825355529785, 2.3264715671539307]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a01Fd.wav,happiness,The tablecloth is lying on the fridge,female,"[-328.6242370605469, 130.40003967285156, -24.91471290588379, -5.296867370605469, 18.62452507019043, -13.107587814331055, -0.04490164667367935, 10.196016311645508, -14.601136207580566, -5.968185901641846, 9.169766426086426, -4.962616443634033, -4.3684539794921875, 0.325040727853775, -12.551216125488281, -7.972907066345215, 2.112748384475708, -8.187814712524414, -9.261784553527832, -0.9143077731132507]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a01Lb.wav,boredom,The tablecloth is lying on the fridge,female,"[-269.8341369628906, 176.49197387695312, -32.39870834350586, 10.154268264770508, 57.03119659423828, -0.5181225538253784, -1.2197785377502441, 23.24721908569336, -1.5765143632888794, -2.1741600036621094, 15.892498016357422, 2.608806848526001, -2.249650478363037, 4.075997352600098, -6.730120658874512, -6.391263484954834, 4.918562412261963, 0.18289121985435486, -4.1524658203125, -1.721601963043213]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a01Nb.wav,neutral,The tablecloth is lying on the fridge,female,"[-287.9257507324219, 157.90220642089844, -14.017694473266602, 9.641709327697754, 43.679039001464844, 1.1660898923873901, -1.7777445316314697, 14.41236400604248, 0.06814153492450714, 1.416722059249878, 9.548742294311523, 1.3873534202575684, 3.9083187580108643, 2.5287554264068604, -11.856978416442871, -4.975427150726318, 6.011794567108154, -3.712786912918091, -6.429908275604248, -0.8415250182151794]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a01Wb.wav,anger,The tablecloth is lying on the fridge,female,"[-323.5, 127.7055892944336, -31.114215850830078, -5.250519752502441, 25.189916610717773, -8.83930492401123, -0.24741040170192719, 10.1333589553833, -13.519633293151855, -5.545736312866211, 9.77470874786377, -2.636411428451538, -0.712486743927002, 4.196710109710693, -9.559154510498047, -6.552647590637207, 2.231084108352661, -8.695063591003418, -9.182025909423828, 0.6797314882278442]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a02Ad.wav,anxiety/fear,She wants to hand that in on Wednesday,female,"[-301.01727294921875, 141.97607421875, -22.849733352661133, 9.839827537536621, 42.010650634765625, -0.42228490114212036, 6.369441986083984, 23.03173828125, 0.13002130389213562, 1.8800400495529175, 14.364018440246582, 5.104959011077881, 7.535500526428223, 7.886088848114014, -7.1915130615234375, -1.3705499172210693, 8.057254791259766, -2.95886492729187, -3.536919116973877, 1.899736762046814]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a02Ec.wav,disgust,She wants to hand that in on Wednesday,female,"[-312.2557373046875, 188.1005096435547, -38.42741012573242, 6.728303909301758, 42.62773132324219, -10.080072402954102, 14.301692008972168, 31.661636352539062, -5.611973762512207, 8.502395629882812, 21.817758560180664, -9.591827392578125, -5.102010250091553, 6.750273704528809, -13.556806564331055, -6.297512054443359, 9.29851245880127, -6.668187618255615, -8.689193725585938, 1.2303632497787476]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a02Fa.wav,happiness,She wants to hand that in on Wednesday,female,"[-332.9999084472656, 144.95745849609375, -25.791261672973633, -1.9839305877685547, 26.558002471923828, -6.782538890838623, 7.1094136238098145, 15.030817031860352, -13.416059494018555, -1.6756430864334106, 13.706629753112793, -5.412847518920898, -2.862651824951172, 4.943897724151611, -13.101126670837402, -11.028324127197266, 3.4123973846435547, -6.319413661956787, -10.047423362731934, -1.3357230424880981]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a02Lc.wav,boredom,She wants to hand that in on Wednesday,female,"[-293.33294677734375, 161.86325073242188, -19.16547203063965, 15.411542892456055, 54.50094223022461, 6.186527252197266, 7.440091133117676, 27.00214195251465, 0.49074244499206543, -4.167222499847412, 12.476302146911621, 5.725660800933838, 3.635366201400757, 6.1191086769104, -6.411364555358887, -5.890698432922363, 4.225742340087891, -2.085752487182617, -7.127259254455566, -3.2510764598846436]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a02Nc.wav,neutral,She wants to hand that in on Wednesday,female,"[-309.2746887207031, 169.40760803222656, -20.174142837524414, 9.077625274658203, 46.62946319580078, 2.412790060043335, 5.559833526611328, 22.140714645385742, 0.1458299607038498, 0.26721736788749695, 9.502347946166992, 1.39290452003479, 7.934645175933838, 6.313372611999512, -13.39872932434082, -5.264945030212402, 7.692075729370117, -6.275106430053711, -9.035478591918945, 0.1836985945701599]"
datasources\EMO_DB\EMO_DB_DATA\wav\13a02Ta.wav,sadness,She wants to hand that in on Wednesday,female,"[-304.8924560546875, 184.22720336914062, -25.671005249023438, 7.778576374053955, 42.83475875854492, -6.005421161651611, 9.639215469360352, 31.15788459777832, 1.0663973093032837, 4.708913803100586, 20.56139373779297, 6.930926322937012, 9.007341384887695, 8.646845817565918, -11.971343040466309, -4.120477199554443, 11.189634323120117, -0.6842758655548096, -2.132972478866577, 5.463458061218262]"
