,emotion,statements,situation,gender
datasources\LDC_female\wav\3NT3s1660.wav,neutral,september tenth,tete a tete,female
datasources\LDC_female\wav\3NT3s1661.wav,neutral,september tenth,tete a tete,female
datasources\LDC_female\wav\3NT3s1710.wav,neutral,six thousand six,tete a tete,female
datasources\LDC_female\wav\3NT3s1711.wav,neutral,six thousand six,tete a tete,female
datasources\LDC_female\wav\3NT3s1712.wav,neutral,six thousand six,tete a tete,female
datasources\LDC_female\wav\3NT3s1730.wav,neutral,ten thousand four,tete a tete,female
datasources\LDC_female\wav\3NT3s1731.wav,neutral,ten thousand four,tete a tete,female
datasources\LDC_female\wav\3NT3s1770.wav,neutral,three hundred two,tete a tete,female
datasources\LDC_female\wav\3NT3s1771.wav,neutral,three hundred two,tete a tete,female
datasources\LDC_female\wav\3NT3s1772.wav,neutral,three hundred two,tete a tete,female
datasources\LDC_female\wav\3NT3s1790.wav,neutral,three thousand two,tete a tete,female
datasources\LDC_female\wav\3NT3s1791.wav,neutral,three thousand two,tete a tete,female
datasources\LDC_female\wav\3NT3s1792.wav,neutral,three thousand two,tete a tete,female
datasources\LDC_female\wav\3NT3s1810.wav,neutral,two hundred twelve,tete a tete,female
datasources\LDC_female\wav\3NT3s1811.wav,neutral,two hundred twelve,tete a tete,female
datasources\LDC_female\wav\3NT3s1812.wav,neutral,two hundred twelve,tete a tete,female
datasources\LDC_female\wav\3NT3s1840.wav,neutral,two thousand one,tete a tete,female
datasources\LDC_female\wav\3NT3s1841.wav,neutral,two thousand one,tete a tete,female
datasources\LDC_female\wav\3NT3s1842.wav,neutral,two thousand one,tete a tete,female
datasources\LDC_female\wav\3NT3s2790.wav,neutral,five thousand four,tete a tete,female
datasources\LDC_female\wav\3NT3s2791.wav,neutral,five thousand four,tete a tete,female
datasources\LDC_female\wav\3NT3s3280.wav,neutral,june twenty-sixth,tete a tete,female
datasources\LDC_female\wav\3NT3s3281.wav,neutral,june twenty-sixth,tete a tete,female
datasources\LDC_female\wav\3NT3s3340.wav,neutral,march twenty-fourth,tete a tete,female
datasources\LDC_female\wav\3NT3s3341.wav,neutral,march twenty-fourth,tete a tete,female
datasources\LDC_female\wav\3NT3s3400.wav,neutral,may twenty-fifth,tete a tete,female
datasources\LDC_female\wav\3NT3s3401.wav,neutral,may twenty-fifth,tete a tete,female
datasources\LDC_female\wav\3NT3s3500.wav,neutral,seventy-one,tete a tete,female
datasources\LDC_female\wav\3NT3s3501.wav,neutral,seventy-one,tete a tete,female
datasources\LDC_female\wav\3NT3s3502.wav,neutral,seventy-one,tete a tete,female
datasources\LDC_female\wav\3NT3s3550.wav,neutral,thirty-seven,tete a tete,female
datasources\LDC_female\wav\3NT3s3551.wav,neutral,thirty-seven,tete a tete,female
datasources\LDC_female\wav\3SN1s1820.wav,sadness,two thousand four,conversation,female
datasources\LDC_female\wav\3SN1s1821.wav,sadness,two thousand four,conversation,female
datasources\LDC_female\wav\3SN1s1822.wav,sadness,two thousand four,conversation,female
datasources\LDC_female\wav\3SN1s1823.wav,sadness,two thousand four,conversation,female
datasources\LDC_female\wav\3SN1s2190.wav,sadness,august second,conversation,female
datasources\LDC_female\wav\3SN1s2191.wav,sadness,august second,conversation,female
datasources\LDC_female\wav\3SN1s2200.wav,sadness,five hundred five,conversation,female
datasources\LDC_female\wav\3SN1s2201.wav,sadness,five hundred five,conversation,female
datasources\LDC_female\wav\3SN1s2202.wav,sadness,five hundred five,conversation,female
datasources\LDC_female\wav\3SN1s2210.wav,sadness,four hundred twelve,conversation,female
datasources\LDC_female\wav\3SN1s2211.wav,sadness,four hundred twelve,conversation,female
datasources\LDC_female\wav\3SN1s2212.wav,sadness,four hundred twelve,conversation,female
datasources\LDC_female\wav\3SN1s2240.wav,sadness,one thousand two,conversation,female
datasources\LDC_female\wav\3SN1s2241.wav,sadness,one thousand two,conversation,female
datasources\LDC_female\wav\3SN1s2242.wav,sadness,one thousand two,conversation,female
datasources\LDC_female\wav\3SN1s2250.wav,sadness,september third,conversation,female
datasources\LDC_female\wav\3SN1s2251.wav,sadness,september third,conversation,female
datasources\LDC_female\wav\3SN1s2252.wav,sadness,september third,conversation,female
datasources\LDC_female\wav\3SN1s2260.wav,sadness,six thousand ten,conversation,female
datasources\LDC_female\wav\3SN1s2261.wav,sadness,six thousand ten,conversation,female
datasources\LDC_female\wav\3SN1s2262.wav,sadness,six thousand ten,conversation,female
datasources\LDC_female\wav\3SN1s2280.wav,sadness,three hundred twelve,conversation,female
datasources\LDC_female\wav\3SN1s2281.wav,sadness,three hundred twelve,conversation,female
datasources\LDC_female\wav\3SN1s2282.wav,sadness,three hundred twelve,conversation,female
datasources\LDC_female\wav\3SN1s2870.wav,sadness,nine thousand nine,conversation,female
datasources\LDC_female\wav\3SN1s2871.wav,sadness,nine thousand nine,conversation,female
datasources\LDC_female\wav\3SN1s2872.wav,sadness,nine thousand nine,conversation,female
datasources\LDC_female\wav\3SN1s3230.wav,sadness,june twenty-eighth,conversation,female
datasources\LDC_female\wav\3SN1s3231.wav,sadness,june twenty-eighth,conversation,female
datasources\LDC_female\wav\3SN1s3232.wav,sadness,june twenty-eighth,conversation,female
datasources\LDC_female\wav\3SN1s3430.wav,sadness,may twenty-ninth,conversation,female
datasources\LDC_female\wav\3SN1s3431.wav,sadness,may twenty-ninth,conversation,female
datasources\LDC_female\wav\3SN1s3432.wav,sadness,may twenty-ninth,conversation,female
datasources\LDC_female\wav\4AX1s0010.wav,anxiety,august sixteenth,conversation,female
datasources\LDC_female\wav\4AX1s0011.wav,anxiety,august sixteenth,conversation,female
datasources\LDC_female\wav\4AX1s0020.wav,anxiety,eight hundred eight,conversation,female
datasources\LDC_female\wav\4AX1s0021.wav,anxiety,eight hundred eight,conversation,female
datasources\LDC_female\wav\4AX1s0030.wav,anxiety,five hundred nine,conversation,female
datasources\LDC_female\wav\4AX1s0031.wav,anxiety,five hundred nine,conversation,female
datasources\LDC_female\wav\4AX1s0040.wav,anxiety,four thousand eight,conversation,female
datasources\LDC_female\wav\4AX1s0041.wav,anxiety,four thousand eight,conversation,female
datasources\LDC_female\wav\4AX1s0060.wav,anxiety,nine thousand six,conversation,female
datasources\LDC_female\wav\4AX1s0070.wav,anxiety,seven hundred,conversation,female
datasources\LDC_female\wav\4AX1s0071.wav,anxiety,seven hundred,conversation,female
datasources\LDC_female\wav\4AX1s0080.wav,anxiety,six thousand twelve,conversation,female
datasources\LDC_female\wav\4AX1s0081.wav,anxiety,six thousand twelve,conversation,female
datasources\LDC_female\wav\4AX1s0090.wav,anxiety,three thousand eight,conversation,female
datasources\LDC_female\wav\4AX1s0091.wav,anxiety,three thousand eight,conversation,female
datasources\LDC_female\wav\4AX1s3250.wav,anxiety,june twenty-first,conversation,female
datasources\LDC_female\wav\4AX1s3251.wav,anxiety,june twenty-first,conversation,female
datasources\LDC_female\wav\4AX1s3450.wav,anxiety,may twenty-third,conversation,female
datasources\LDC_female\wav\4AX1s3451.wav,anxiety,may twenty-third,conversation,female
datasources\LDC_female\wav\4BD1s0100.wav,boredom,april fifteenth,conversation,female
datasources\LDC_female\wav\4BD1s0110.wav,boredom,eight thousand six,conversation,female
datasources\LDC_female\wav\4BD1s0120.wav,boredom,five thousand twelve,conversation,female
datasources\LDC_female\wav\4BD1s0130.wav,boredom,july fourteenth,conversation,female
datasources\LDC_female\wav\4BD1s0150.wav,boredom,nine hundred four,conversation,female
datasources\LDC_female\wav\4BD1s0151.wav,boredom,nine hundred four,conversation,female
datasources\LDC_female\wav\4BD1s0160.wav,boredom,october sixth,conversation,female
datasources\LDC_female\wav\4BD1s0161.wav,boredom,october sixth,conversation,female
datasources\LDC_female\wav\4BD1s0170.wav,boredom,one hundred twelve,conversation,female
datasources\LDC_female\wav\4BD1s0180.wav,boredom,six hundred six,conversation,female
datasources\LDC_female\wav\4BD1s0190.wav,boredom,thirteen hundred,conversation,female
datasources\LDC_female\wav\4BD1s0200.wav,boredom,two hundred one,conversation,female
datasources\LDC_female\wav\4BD1s3360.wav,boredom,march twenty-sixth,conversation,female
datasources\LDC_female\wav\4BD1s3361.wav,boredom,march twenty-sixth,conversation,female
datasources\LDC_female\wav\4DG1s0420.wav,disgust,april second,conversation,female
datasources\LDC_female\wav\4DG1s0421.wav,disgust,april second,conversation,female
datasources\LDC_female\wav\4DG1s0430.wav,disgust,eight thousand twelve,conversation,female
datasources\LDC_female\wav\4DG1s0431.wav,disgust,eight thousand twelve,conversation,female
datasources\LDC_female\wav\4DG1s0440.wav,disgust,four hundred eight,conversation,female
datasources\LDC_female\wav\4DG1s0441.wav,disgust,four hundred eight,conversation,female
datasources\LDC_female\wav\4DG1s0450.wav,disgust,july seventh,conversation,female
datasources\LDC_female\wav\4DG1s0451.wav,disgust,july seventh,conversation,female
datasources\LDC_female\wav\4DG1s0460.wav,disgust,may seventeenth,conversation,female
datasources\LDC_female\wav\4DG1s0461.wav,disgust,may seventeenth,conversation,female
datasources\LDC_female\wav\4DG1s0470.wav,disgust,nine hundred six,conversation,female
datasources\LDC_female\wav\4DG1s0471.wav,disgust,nine hundred six,conversation,female
datasources\LDC_female\wav\4DG1s0480.wav,disgust,october twelfth,conversation,female
datasources\LDC_female\wav\4DG1s0490.wav,disgust,one thousand five,conversation,female
datasources\LDC_female\wav\4DG1s0500.wav,disgust,six hundred twelve,conversation,female
datasources\LDC_female\wav\4DG1s0510.wav,disgust,three hundred eight,conversation,female
datasources\LDC_female\wav\4DG1s0511.wav,disgust,three hundred eight,conversation,female
datasources\LDC_female\wav\4DG1s0512.wav,disgust,three hundred eight,conversation,female
datasources\LDC_female\wav\4DG1s0520.wav,disgust,two hundred three,conversation,female
datasources\LDC_female\wav\4DG1s0521.wav,disgust,two hundred three,conversation,female
datasources\LDC_female\wav\4DG1s1810.wav,disgust,two hundred twelve,conversation,female
datasources\LDC_female\wav\4DG1s3020.wav,disgust,july seventeenth,conversation,female
datasources\LDC_female\wav\4DG1s3021.wav,disgust,july seventeenth,conversation,female
datasources\LDC_female\wav\4HA1s0741.wav,hot anger,three hundred nine,conversation,female
datasources\LDC_female\wav\4HA1s0950.wav,hot anger,december tenth,conversation,female
datasources\LDC_female\wav\4HA1s0951.wav,hot anger,december tenth,conversation,female
datasources\LDC_female\wav\4HA1s0960.wav,hot anger,eight hundred twelve,conversation,female
datasources\LDC_female\wav\4HA1s0961.wav,hot anger,eight hundred twelve,conversation,female
datasources\LDC_female\wav\4HA1s0970.wav,hot anger,five thousand five,conversation,female
datasources\LDC_female\wav\4HA1s0971.wav,hot anger,five thousand five,conversation,female
datasources\LDC_female\wav\4HA1s0980.wav,hot anger,four thousand twelve,conversation,female
datasources\LDC_female\wav\4HA1s0981.wav,hot anger,four thousand twelve,conversation,female
datasources\LDC_female\wav\4HA1s1000.wav,hot anger,november third,conversation,female
datasources\LDC_female\wav\4HA1s1010.wav,hot anger,one hundred five,conversation,female
datasources\LDC_female\wav\4HA1s1030.wav,hot anger,ten thousand nine,conversation,female
datasources\LDC_female\wav\4HA1s1031.wav,hot anger,ten thousand nine,conversation,female
datasources\LDC_female\wav\4HA1s1040.wav,hot anger,three thousand twelve,conversation,female
datasources\LDC_female\wav\4HA1s1041.wav,hot anger,three thousand twelve,conversation,female
datasources\LDC_female\wav\4HA1s1050.wav,hot anger,april thirteenth,conversation,female
datasources\LDC_female\wav\4HA1s1060.wav,hot anger,eighteen hundred,conversation,female
datasources\LDC_female\wav\4HA1s1061.wav,hot anger,eighteen hundred,conversation,female
datasources\LDC_female\wav\4HA1s1070.wav,hot anger,four hundred nine,conversation,female
datasources\LDC_female\wav\4HA1s1071.wav,hot anger,four hundred nine,conversation,female
datasources\LDC_female\wav\4HA1s1080.wav,hot anger,june eleventh,conversation,female
datasources\LDC_female\wav\4HA1s1081.wav,hot anger,june eleventh,conversation,female
datasources\LDC_female\wav\4HA1s1090.wav,hot anger,may twentieth,conversation,female
datasources\LDC_female\wav\4HA1s1091.wav,hot anger,may twentieth,conversation,female
datasources\LDC_female\wav\4HA1s1100.wav,hot anger,nine hundred twelve,conversation,female
datasources\LDC_female\wav\4HA1s1101.wav,hot anger,nine hundred twelve,conversation,female
datasources\LDC_female\wav\4HA1s1102.wav,hot anger,nine hundred twelve,conversation,female
datasources\LDC_female\wav\4HA1s1110.wav,hot anger,one thousand one,conversation,female
datasources\LDC_female\wav\4HA1s3300.wav,hot anger,march thirty-first,conversation,female
datasources\LDC_female\wav\4HA1s3301.wav,hot anger,march thirty-first,conversation,female
datasources\LDC_female\wav\4HA1s3520.wav,hot anger,seventy-three,conversation,female
datasources\LDC_female\wav\4HA1s3521.wav,hot anger,seventy-three,conversation,female
datasources\LDC_female\wav\4HP1s0740.wav,happy,three hundred nine,conversation,female
datasources\LDC_female\wav\4HP1s1111.wav,happy,one thousand one,conversation,female
datasources\LDC_female\wav\4HP1s1120.wav,happy,september first,conversation,female
datasources\LDC_female\wav\4HP1s1130.wav,happy,six thousand five,conversation,female
datasources\LDC_female\wav\4HP1s1131.wav,happy,six thousand five,conversation,female
datasources\LDC_female\wav\4HP1s1140.wav,happy,two thousand eight,conversation,female
datasources\LDC_female\wav\4NT1s0170.wav,neutral,one hundred twelve,conversation,female
datasources\LDC_female\wav\4NT1s0370.wav,neutral,october third,conversation,female
datasources\LDC_female\wav\4NT1s0390.wav,neutral,six hundred three,conversation,female
datasources\LDC_female\wav\4NT1s0391.wav,neutral,six hundred three,conversation,female
datasources\LDC_female\wav\4NT1s0780.wav,neutral,two thousand ten,conversation,female
datasources\LDC_female\wav\4NT1s0810.wav,neutral,march eleventh,conversation,female
datasources\LDC_female\wav\4NT1s0820.wav,neutral,nineteen hundred,conversation,female
datasources\LDC_female\wav\4NT1s1050.wav,neutral,april thirteenth,conversation,female
datasources\LDC_female\wav\4NT1s1051.wav,neutral,april thirteenth,conversation,female
datasources\LDC_female\wav\4NT1s1070.wav,neutral,four hundred nine,conversation,female
datasources\LDC_female\wav\4NT1s1140.wav,neutral,two thousand eight,conversation,female
datasources\LDC_female\wav\4NT1s1180.wav,neutral,nine thousand eight,conversation,female
datasources\LDC_female\wav\4NT1s1280.wav,neutral,december fifth,conversation,female
datasources\LDC_female\wav\4NT1s1320.wav,neutral,eight hundred two,conversation,female
datasources\LDC_female\wav\4NT1s1330.wav,neutral,eight thousand two,conversation,female
datasources\LDC_female\wav\4NT1s1360.wav,neutral,five hundred one,conversation,female
datasources\LDC_female\wav\4NT1s1370.wav,neutral,five thousand one,conversation,female
datasources\LDC_female\wav\4NT1s1410.wav,neutral,four thousand nine,conversation,female
datasources\LDC_female\wav\4NT1s1440.wav,neutral,july eighteenth,conversation,female
datasources\LDC_female\wav\4NT1s1450.wav,neutral,june thirtieth,conversation,female
datasources\LDC_female\wav\4NT1s1520.wav,neutral,nine hundred eight,conversation,female
datasources\LDC_female\wav\4NT1s1580.wav,neutral,november tenth,conversation,female
datasources\LDC_female\wav\4NT1s1640.wav,neutral,one thousand twelve,conversation,female
datasources\LDC_female\wav\4NT1s1670.wav,neutral,september twelfth,conversation,female
datasources\LDC_female\wav\4NT1s1720.wav,neutral,six thousand three,conversation,female
datasources\LDC_female\wav\4NT1s1740.wav,neutral,ten thousand one,conversation,female
datasources\LDC_female\wav\4NT1s1760.wav,neutral,three hundred five,conversation,female
datasources\LDC_female\wav\4NT1s1780.wav,neutral,three thousand five,conversation,female
datasources\LDC_female\wav\4NT1s1800.wav,neutral,two hundred eight,conversation,female
datasources\LDC_female\wav\4NT1s1830.wav,neutral,two thousand nine,conversation,female
datasources\LDC_female\wav\4NT1s1840.wav,neutral,two thousand one,conversation,female
datasources\LDC_female\wav\4NT1s1850.wav,neutral,two thousand six,conversation,female
datasources\LDC_female\wav\4NT1s1860.wav,neutral,two thousand three,conversation,female
datasources\LDC_female\wav\4NT1s1861.wav,neutral,two thousand three,conversation,female
datasources\LDC_female\wav\4NT1s1870.wav,neutral,two thousand twelve,conversation,female
datasources\LDC_female\wav\4NT1s1880.wav,neutral,two thousand two,conversation,female
datasources\LDC_female\wav\4NT1s3360.wav,neutral,march twenty-sixth,conversation,female
datasources\LDC_female\wav\4NT1s3420.wav,neutral,may twenty-fourth,conversation,female
datasources\LDC_female\wav\4NT1s3510.wav,neutral,seventy-six,conversation,female
datasources\LDC_female\wav\4NT2s0100.wav,neutral,april fifteenth,distant,female
datasources\LDC_female\wav\4NT2s0101.wav,neutral,april fifteenth,distant,female
datasources\LDC_female\wav\4NT2s0102.wav,neutral,april fifteenth,distant,female
datasources\LDC_female\wav\4NT2s0103.wav,neutral,april fifteenth,distant,female
datasources\LDC_female\wav\4NT2s0120.wav,neutral,five thousand twelve,distant,female
datasources\LDC_female\wav\4NT2s0121.wav,neutral,five thousand twelve,distant,female
datasources\LDC_female\wav\4NT2s0200.wav,neutral,two hundred one,distant,female
datasources\LDC_female\wav\4NT2s0201.wav,neutral,two hundred one,distant,female
datasources\LDC_female\wav\4NT2s0202.wav,neutral,two hundred one,distant,female
datasources\LDC_female\wav\4NT2s0290.wav,neutral,sixteen hundred,distant,female
datasources\LDC_female\wav\4NT2s0291.wav,neutral,sixteen hundred,distant,female
datasources\LDC_female\wav\4NT2s0292.wav,neutral,sixteen hundred,distant,female
datasources\LDC_female\wav\4NT2s0340.wav,neutral,july second,distant,female
datasources\LDC_female\wav\4NT2s0341.wav,neutral,july second,distant,female
datasources\LDC_female\wav\4NT2s0342.wav,neutral,july second,distant,female
datasources\LDC_female\wav\4NT2s0343.wav,neutral,july second,distant,female
datasources\LDC_female\wav\4NT2s0344.wav,neutral,july second,distant,female
datasources\LDC_female\wav\4NT2s0360.wav,neutral,nine hundred one,distant,female
datasources\LDC_female\wav\4NT2s0361.wav,neutral,nine hundred one,distant,female
datasources\LDC_female\wav\4NT2s0800.wav,neutral,five hundred twelve,distant,female
datasources\LDC_female\wav\4NT2s0801.wav,neutral,five hundred twelve,distant,female
datasources\LDC_female\wav\4NT2s0802.wav,neutral,five hundred twelve,distant,female
datasources\LDC_female\wav\4NT2s0803.wav,neutral,five hundred twelve,distant,female
datasources\LDC_female\wav\4NT2s0804.wav,neutral,five hundred twelve,distant,female
datasources\LDC_female\wav\4NT2s0860.wav,neutral,three thousand six,distant,female
datasources\LDC_female\wav\4NT2s0861.wav,neutral,three thousand six,distant,female
datasources\LDC_female\wav\4NT2s1120.wav,neutral,september first,distant,female
datasources\LDC_female\wav\4NT2s1121.wav,neutral,september first,distant,female
datasources\LDC_female\wav\4NT2s1122.wav,neutral,september first,distant,female
datasources\LDC_female\wav\4NT2s1130.wav,neutral,six thousand five,distant,female
datasources\LDC_female\wav\4NT2s1131.wav,neutral,six thousand five,distant,female
datasources\LDC_female\wav\4NT2s1132.wav,neutral,six thousand five,distant,female
datasources\LDC_female\wav\4NT2s1150.wav,neutral,fifteen hundred,distant,female
datasources\LDC_female\wav\4NT2s1151.wav,neutral,fifteen hundred,distant,female
datasources\LDC_female\wav\4NT2s1152.wav,neutral,fifteen hundred,distant,female
datasources\LDC_female\wav\4NT2s1220.wav,neutral,three hundred six,distant,female
datasources\LDC_female\wav\4NT2s1221.wav,neutral,three hundred six,distant,female
datasources\LDC_female\wav\4NT2s1222.wav,neutral,three hundred six,distant,female
datasources\LDC_female\wav\4NT2s1223.wav,neutral,three hundred six,distant,female
datasources\LDC_female\wav\4NT2s1260.wav,neutral,august nineteenth,distant,female
datasources\LDC_female\wav\4NT2s1261.wav,neutral,august nineteenth,distant,female
datasources\LDC_female\wav\4NT2s1290.wav,neutral,december sixth,distant,female
datasources\LDC_female\wav\4NT2s1291.wav,neutral,december sixth,distant,female
datasources\LDC_female\wav\4NT2s1292.wav,neutral,december sixth,distant,female
datasources\LDC_female\wav\4NT2s1300.wav,neutral,eight hundred nine,distant,female
datasources\LDC_female\wav\4NT2s1301.wav,neutral,eight hundred nine,distant,female
datasources\LDC_female\wav\4NT2s1390.wav,neutral,four hundred three,distant,female
datasources\LDC_female\wav\4NT2s1391.wav,neutral,four hundred three,distant,female
datasources\LDC_female\wav\4NT2s1392.wav,neutral,four hundred three,distant,female
datasources\LDC_female\wav\4NT2s1420.wav,neutral,four thousand three,distant,female
datasources\LDC_female\wav\4NT2s1421.wav,neutral,four thousand three,distant,female
datasources\LDC_female\wav\4NT2s1422.wav,neutral,four thousand three,distant,female
datasources\LDC_female\wav\4NT2s1480.wav,neutral,march twentieth,distant,female
datasources\LDC_female\wav\4NT2s1481.wav,neutral,march twentieth,distant,female
datasources\LDC_female\wav\4NT2s1482.wav,neutral,march twentieth,distant,female
datasources\LDC_female\wav\4NT2s1500.wav,neutral,may thirtieth,distant,female
datasources\LDC_female\wav\4NT2s1501.wav,neutral,may thirtieth,distant,female
datasources\LDC_female\wav\4NT2s1502.wav,neutral,may thirtieth,distant,female
datasources\LDC_female\wav\4NT2s1503.wav,neutral,may thirtieth,distant,female
datasources\LDC_female\wav\4NT2s1530.wav,neutral,nine thousand one,distant,female
datasources\LDC_female\wav\4NT2s1531.wav,neutral,nine thousand one,distant,female
datasources\LDC_female\wav\4NT2s1532.wav,neutral,nine thousand one,distant,female
datasources\LDC_female\wav\4NT2s1533.wav,neutral,nine thousand one,distant,female
datasources\LDC_female\wav\4NT2s1534.wav,neutral,nine thousand one,distant,female
datasources\LDC_female\wav\4NT2s1535.wav,neutral,nine thousand one,distant,female
datasources\LDC_female\wav\4NT2s1560.wav,neutral,november eighth,distant,female
datasources\LDC_female\wav\4NT2s1561.wav,neutral,november eighth,distant,female
datasources\LDC_female\wav\4NT2s1562.wav,neutral,november eighth,distant,female
datasources\LDC_female\wav\4NT2s1590.wav,neutral,october fifth,distant,female
datasources\LDC_female\wav\4NT2s1591.wav,neutral,october fifth,distant,female
datasources\LDC_female\wav\4NT2s1592.wav,neutral,october fifth,distant,female
datasources\LDC_female\wav\4NT2s1593.wav,neutral,october fifth,distant,female
datasources\LDC_female\wav\4NT2s1600.wav,neutral,one hundred four,distant,female
datasources\LDC_female\wav\4NT2s1601.wav,neutral,one hundred four,distant,female
datasources\LDC_female\wav\4NT2s1602.wav,neutral,one hundred four,distant,female
datasources\LDC_female\wav\4NT2s1603.wav,neutral,one hundred four,distant,female
datasources\LDC_female\wav\4NT2s1630.wav,neutral,one thousand four,distant,female
datasources\LDC_female\wav\4NT2s1631.wav,neutral,one thousand four,distant,female
datasources\LDC_female\wav\4NT2s1632.wav,neutral,one thousand four,distant,female
datasources\LDC_female\wav\4NT2s1700.wav,neutral,six hundred five,distant,female
datasources\LDC_female\wav\4NT2s1701.wav,neutral,six hundred five,distant,female
datasources\LDC_female\wav\4NT2s1702.wav,neutral,six hundred five,distant,female
datasources\LDC_female\wav\4NT2s1703.wav,neutral,six hundred five,distant,female
datasources\LDC_female\wav\4NT2s1750.wav,neutral,ten thousand twelve,distant,female
datasources\LDC_female\wav\4NT2s1751.wav,neutral,ten thousand twelve,distant,female
datasources\LDC_female\wav\4NT2s1752.wav,neutral,ten thousand twelve,distant,female
datasources\LDC_female\wav\4NT2s1753.wav,neutral,ten thousand twelve,distant,female
datasources\LDC_female\wav\4NT2s1820.wav,neutral,two thousand four,distant,female
datasources\LDC_female\wav\4NT2s1821.wav,neutral,two thousand four,distant,female
datasources\LDC_female\wav\4NT2s1860.wav,neutral,two thousand three,distant,female
datasources\LDC_female\wav\4NT2s1861.wav,neutral,two thousand three,distant,female
datasources\LDC_female\wav\4NT2s1862.wav,neutral,two thousand three,distant,female
datasources\LDC_female\wav\4NT2s1863.wav,neutral,two thousand three,distant,female
datasources\LDC_female\wav\4NT2s2180.wav,neutral,eight thousand nine,distant,female
datasources\LDC_female\wav\4NT2s2181.wav,neutral,eight thousand nine,distant,female
datasources\LDC_female\wav\4NT2s3240.wav,neutral,june twenty-fifth,distant,female
datasources\LDC_female\wav\4NT2s3241.wav,neutral,june twenty-fifth,distant,female
datasources\LDC_female\wav\4NT2s3242.wav,neutral,june twenty-fifth,distant,female
datasources\LDC_female\wav\4NT2s3460.wav,neutral,seventy-eight,distant,female
datasources\LDC_female\wav\4NT2s3461.wav,neutral,seventy-eight,distant,female
datasources\LDC_female\wav\4NT2s3462.wav,neutral,seventy-eight,distant,female
datasources\LDC_female\wav\4NT3s0160.wav,neutral,october sixth,tete a tete,female
datasources\LDC_female\wav\4NT3s0161.wav,neutral,october sixth,tete a tete,female
datasources\LDC_female\wav\4NT3s0162.wav,neutral,october sixth,tete a tete,female
datasources\LDC_female\wav\4NT3s0180.wav,neutral,six hundred six,tete a tete,female
datasources\LDC_female\wav\4NT3s0320.wav,neutral,eight thousand three,tete a tete,female
datasources\LDC_female\wav\4NT3s0321.wav,neutral,eight thousand three,tete a tete,female
datasources\LDC_female\wav\4NT3s1080.wav,neutral,june eleventh,tete a tete,female
datasources\LDC_female\wav\4NT3s1081.wav,neutral,june eleventh,tete a tete,female
datasources\LDC_female\wav\4NT3s1082.wav,neutral,june eleventh,tete a tete,female
datasources\LDC_female\wav\4NT3s1100.wav,neutral,nine hundred twelve,tete a tete,female
datasources\LDC_female\wav\4NT3s1101.wav,neutral,nine hundred twelve,tete a tete,female
datasources\LDC_female\wav\4NT3s1190.wav,neutral,one thousand ten,tete a tete,female
datasources\LDC_female\wav\4NT3s1240.wav,neutral,april seventh,tete a tete,female
datasources\LDC_female\wav\4NT3s1241.wav,neutral,april seventh,tete a tete,female
datasources\LDC_female\wav\4NT3s1242.wav,neutral,april seventh,tete a tete,female
datasources\LDC_female\wav\4NT3s1243.wav,neutral,april seventh,tete a tete,female
datasources\LDC_female\wav\4NT3s1270.wav,neutral,august thirteenth,tete a tete,female
datasources\LDC_female\wav\4NT3s1271.wav,neutral,august thirteenth,tete a tete,female
datasources\LDC_female\wav\4NT3s1272.wav,neutral,august thirteenth,tete a tete,female
datasources\LDC_female\wav\4NT3s1273.wav,neutral,august thirteenth,tete a tete,female
datasources\LDC_female\wav\4NT3s1310.wav,neutral,eight hundred three,tete a tete,female
datasources\LDC_female\wav\4NT3s1311.wav,neutral,eight hundred three,tete a tete,female
datasources\LDC_female\wav\4NT3s1312.wav,neutral,eight hundred three,tete a tete,female
datasources\LDC_female\wav\4NT3s1340.wav,neutral,february,tete a tete,female
datasources\LDC_female\wav\4NT3s1341.wav,neutral,february,tete a tete,female
datasources\LDC_female\wav\4NT3s1342.wav,neutral,february,tete a tete,female
datasources\LDC_female\wav\4NT3s1350.wav,neutral,five hundred four,tete a tete,female
datasources\LDC_female\wav\4NT3s1351.wav,neutral,five hundred four,tete a tete,female
datasources\LDC_female\wav\4NT3s1380.wav,neutral,four hundred five,tete a tete,female
datasources\LDC_female\wav\4NT3s1400.wav,neutral,four thousand five,tete a tete,female
datasources\LDC_female\wav\4NT3s1430.wav,neutral,fourteen hundred,tete a tete,female
datasources\LDC_female\wav\4NT3s1431.wav,neutral,fourteen hundred,tete a tete,female
datasources\LDC_female\wav\4NT3s1540.wav,neutral,nine thousand twelve,tete a tete,female
datasources\LDC_female\wav\4NT3s1541.wav,neutral,nine thousand twelve,tete a tete,female
datasources\LDC_female\wav\4NT3s1570.wav,neutral,november ninth,tete a tete,female
datasources\LDC_female\wav\4NT3s1571.wav,neutral,november ninth,tete a tete,female
datasources\LDC_female\wav\4NT3s1610.wav,neutral,one hundred ten,tete a tete,female
datasources\LDC_female\wav\4NT3s1660.wav,neutral,september tenth,tete a tete,female
datasources\LDC_female\wav\4NT3s1661.wav,neutral,september tenth,tete a tete,female
datasources\LDC_female\wav\4NT3s1662.wav,neutral,september tenth,tete a tete,female
datasources\LDC_female\wav\4NT3s1710.wav,neutral,six thousand six,tete a tete,female
datasources\LDC_female\wav\4NT3s1730.wav,neutral,ten thousand four,tete a tete,female
datasources\LDC_female\wav\4NT3s1731.wav,neutral,ten thousand four,tete a tete,female
